Meteorological Data from PISCES 2 located at the Slave River at Fitzgerald at 15 minute intervals ,,,,,,,,,,,,,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 05:00:00,3.618,132.6,5.6,2.1,14.86,40.20,738.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 05:15:00,3.360,130.7,4.9,1.9,15.00,39.94,738.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 05:30:00,3.526,118.2,4.6,2.4,15.09,40.32,738.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 05:45:00,3.153,116.0,4.6,2.0,15.15,40.47,738.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 06:00:00,3.573,128.4,4.9,2.3,15.20,41.13,738.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 06:15:00,3.603,127.0,4.9,2.6,15.15,41.08,738.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 06:30:00,3.518,133.2,4.7,2.4,15.07,41.32,738.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 06:45:00,3.120,133.7,4.6,1.7,15.03,41.72,738.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 07:00:00,3.240,132.3,4.6,2.0,15.00,40.79,738.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 07:15:00,2.416,131.8,3.3,1.8,15.01,42.00,738.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 07:30:00,2.131,128.6,2.9,1.5,15.12,41.65,737.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 07:45:00,2.059,132.1,3.3,1.0,15.22,42.47,737.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 08:00:00,2.307,132.9,3.3,1.6,15.30,42.35,737.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 08:15:00,2.047,152.1,2.6,1.6,15.20,42.70,737.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 08:30:00,1.736,163.0,2.2,1.3,15.12,43.34,737.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 08:45:00,1.908,156.3,2.4,1.6,15.05,45.07,737.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 09:00:00,2.132,137.0,3.2,1.5,14.90,45.99,737.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 09:15:00,3.149,134.2,4.1,2.3,14.89,42.71,737.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 09:30:00,2.521,120.0,3.0,2.0,14.75,44.00,737.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 09:45:00,2.603,105.2,3.5,1.7,14.74,42.31,737.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 10:00:00,2.153,108.1,3.1,1.4,14.65,43.07,737.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 10:15:00,1.774,106.9,2.5,1.3,14.51,43.82,737.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 10:30:00,1.517,117.4,2.1,1.0,14.34,44.83,737.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 10:45:00,1.272,112.0,1.6,1.0,14.17,47.12,737.3,0.05,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 11:00:00,1.276,100.8,1.7,1.0,13.92,50.57,737.2,0.04,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 11:15:00,1.561,93.1,2.1,1.0,13.47,53.28,737.1,0.03,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 11:30:00,1.380,110.3,1.7,1.0,13.25,53.09,737.2,0.07,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 11:45:00,1.498,90.6,1.9,1.2,13.11,53.49,737.1,0.01,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 12:00:00,1.634,102.0,2.2,1.1,12.95,52.31,737.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 12:15:00,1.911,120.6,2.9,0.9,13.10,48.62,737.0,0.04,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 12:30:00,1.666,96.5,2.7,0.7,13.09,47.86,736.9,0.01,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 12:45:00,1.418,121.2,2.2,0.9,12.85,49.42,736.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 13:00:00,1.961,96.9,3.0,1.3,12.77,49.78,736.8,0.03,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 13:15:00,2.220,88.2,2.9,1.1,12.62,48.86,736.7,0.05,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 13:30:00,2.220,86.2,3.2,1.5,12.27,52.01,736.6,0.13,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 13:45:00,2.442,89.1,3.7,1.7,11.85,55.53,736.5,0.11,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 14:00:00,2.433,100.4,3.6,1.0,11.66,56.03,736.4,0.03,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 14:15:00,2.497,92.4,3.5,1.6,11.44,57.88,736.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 14:30:00,2.508,110.1,4.2,1.5,11.39,57.50,736.2,0.02,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 14:45:00,2.552,126.9,3.2,1.5,11.37,57.10,736.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 15:00:00,1.819,124.0,3.0,0.8,11.36,58.03,736.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 15:15:00,2.547,127.6,3.6,1.6,11.61,54.84,736.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 15:30:00,2.530,117.7,3.8,1.6,11.84,54.73,736.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 15:45:00,2.511,112.7,3.3,1.9,11.97,55.37,736.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 16:00:00,1.991,96.3,2.7,1.2,11.88,55.48,735.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 16:15:00,2.309,92.3,2.9,1.6,11.73,56.51,735.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 16:30:00,2.168,110.4,2.9,1.5,11.70,57.69,735.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 16:45:00,2.111,119.5,2.8,1.5,11.80,57.98,735.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 17:00:00,2.117,114.0,3.3,1.6,11.84,59.52,735.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 17:15:00,2.610,112.0,3.3,2.2,11.92,59.64,735.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 17:30:00,2.516,116.7,3.1,1.6,12.00,60.46,735.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 17:45:00,2.011,126.0,2.8,1.3,12.02,61.26,735.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 18:00:00,2.969,137.1,3.8,2.2,12.24,62.52,735.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 18:15:00,3.308,133.3,4.0,2.8,12.18,63.28,735.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 18:30:00,3.456,130.9,4.4,2.7,12.27,63.86,735.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 18:45:00,3.098,133.9,3.9,2.5,12.38,64.43,735.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 19:00:00,3.262,136.9,4.5,2.6,12.40,65.54,735.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 19:15:00,3.310,134.4,4.2,2.6,12.41,67.09,735.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 19:30:00,3.634,135.3,4.5,2.9,12.44,68.96,735.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 19:45:00,3.563,136.4,4.5,2.9,12.49,70.40,735.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 20:00:00,2.976,145.0,3.9,2.2,12.52,72.52,735.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 20:15:00,3.329,140.6,4.3,2.4,12.64,74.37,735.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 20:30:00,3.121,148.7,4.2,2.4,12.83,73.59,735.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 20:45:00,2.718,149.9,3.7,2.0,13.03,72.17,735.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 21:00:00,2.750,153.0,3.7,2.1,13.27,70.49,735.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 21:15:00,2.981,146.0,4.1,2.0,13.51,68.89,735.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 21:30:00,3.138,135.5,4.7,2.0,13.87,67.47,735.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 21:45:00,3.548,137.6,4.3,2.5,14.18,65.69,735.2,0.01,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 22:00:00,4.369,134.9,6.7,2.9,14.35,64.52,735.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 22:15:00,4.828,140.5,6.6,3.0,14.69,62.80,735.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 22:30:00,4.742,133.7,7.2,3.2,15.08,61.30,735.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 22:45:00,4.760,143.5,6.3,3.1,15.38,59.80,734.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 23:00:00,4.460,140.4,6.4,3.0,15.61,59.49,734.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 23:15:00,4.688,141.3,6.9,2.9,15.94,57.95,734.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 23:30:00,4.574,138.6,6.7,1.9,16.33,56.22,734.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/13/2012 23:45:00,3.842,133.7,6.0,0.3,16.72,54.65,734.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 00:00:00,4.160,135.6,6.7,2.6,17.03,53.68,734.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 00:15:00,4.042,129.0,5.8,2.7,17.16,52.80,734.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 00:30:00,3.476,138.8,5.8,1.7,17.40,52.61,734.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 00:45:00,3.127,160.3,5.2,1.1,17.40,53.53,734.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 01:00:00,3.533,156.4,5.9,2.1,17.64,53.11,734.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 01:15:00,2.328,169.4,4.0,0.9,17.78,52.60,734.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 01:30:00,2.416,163.3,4.7,0.7,18.03,51.08,734.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 01:45:00,3.274,181.8,5.0,1.8,18.17,50.79,734.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 02:00:00,3.228,166.2,5.4,1.2,18.35,49.48,734.0,0,0,,,,,,,,,,,
