2016PN330141,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-10-17 13:20,WATER,DISCRETE SAMPLE,5.3,,,,0,,7.81,,0.321,,0.069,,,,,,,L,0.005,,6.32,,1.49,,0.057,,0.156,,,,0.165,,0.0799,,0.011,,74,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330142,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-10-17 14:15,WATER,DISCRETE SAMPLE,3.9,,,,0,,6.75,,0.28,,0.072,,,,,,,L,0.005,,5.55,,1.2,,0.058,,0.1,,,,0.18,,0.0773,,0.005,,63,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330155,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-01-25 13:30,WATER,DISCRETE SAMPLE,6.55,,,,0,,3.47,,0.212,L,0.004,,,,,,,,0.007,,3.24,,0.23,,0.09,,0.021,,,,0.191,,0.0035,,0.004,,11,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330166,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-02-21 15:45,WATER,DISCRETE SAMPLE,5.39,,,,0,,3.078,,0.219,,0.019,,,,,,,,0.006,,2.85,,0.228,,0.08,,0.022,,,,0.197,,0.0215,,0.003,,14,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330188,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-03-22 13:10,WATER,DISCRETE SAMPLE,5.83,,,,0,,3.252,,0.169,,0.018,,,,,,,,0.006,,2.89,,0.362,,0.066,,0.035,,,,0.134,,0.0218,,0.004,,18,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-05-29 14:15,WATER,DISCRETE SAMPLE,7.5,,,,0.001,,32,,2.51,,0.809,,,,,,,,0.021,,16.2,,15.8,,0.068,,1.7,,,,0.81,,0.82,,0.011,,1020,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-06-27 11:30,WATER,DISCRETE SAMPLE,6.5,,,,0.001,,12.73,,0.752,,0.281,,,,,,,,0.015,,6.71,,6.02,,0.058,,0.53,,,,0.222,,0.314,,0.033,,294,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330052,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-07-24 12:30,WATER,DISCRETE SAMPLE,5,,,,0,,8.65,,0.534,,0.072,,,,,,,L,0.005,,7.25,,1.4,L,0.01,,0.144,,,,0.39,,0.0778,,0.006,,60,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-08-22 12:55,WATER,TRIPLICATE SAMPLE,5.7,,,,0,,4.16,,0.332,,0.079,,,,,,,L,0.005,,2.59,,1.57,L,0.01,,0.141,,,,0.191,,0.0842,,0.0051,,67,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-08-22 13:00,WATER,TRIPLICATE SAMPLE,5.7,,,,PM,,4.05,,0.318,,0.074,,,,,,,L,0.005,,2.57,,1.48,L,0.01,,0.133,,,,0.185,,0.0871,,0.0128,,68,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330069,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-08-22 13:05,WATER,TRIPLICATE SAMPLE,5.7,,,,PM,,4.26,,0.292,,0.076,,,,,,,L,0.005,,2.58,,1.68,L,0.01,,0.138,,,,0.154,,0.0805,,0.0049,,69,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-09-12 12:35,WATER,DISCRETE SAMPLE,5.5,,,,0,,3.437,,0.141,,0.031,,,,,,,L,0.005,,2.67,,0.767,L,0.01,,0.081,,,,0.0597,,0.0403,,0.0095,,28,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330099,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-10-17 13:10,WATER,DISCRETE SAMPLE,6.5,,,,0,,4.206,,0.328,,0.046,,,,,,,,0.005,,3.28,,0.926,,0.02,,0.086,,,,0.242,,0.0489,,0.0031,,38,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330135,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-03-11 10:45,WATER,DISCRETE SAMPLE,4.95,,,,0,,5.2,,0.343,,0.168,,,,,,,,0.008,,2.26,,2.94,,0.077,,0.213,,,,0.13,,0.178,,0.0099,,151,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-05-29 12:35,WATER,DISCRETE SAMPLE,6.1,,,,0.001,,14.55,,0.912,,0.389,,,,,,,,0.015,,6.43,,8.12,,0.069,,0.62,,,,0.292,,0.399,,0.0105,,416,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-06-27 12:45,WATER,DISCRETE SAMPLE,4.6,,,,0.001,,15.81,,0.669,,0.206,,,,,,,,0.015,,13.5,,2.31,,0.112,,0.242,,,,0.427,,0.216,,0.0102,,182,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-07-24 11:40,WATER,DISCRETE SAMPLE,5,,,,0,,11.73,,0.652,,0.107,,,,,,,,0.007,,10.5,,1.23,,0.014,,0.149,,,,0.503,,0.115,,0.0078,,66,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330052,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-08-21 12:00,WATER,DISCRETE SAMPLE,4.6,,,,0,,4.988,,0.159,,0.068,,,,,,,,0.007,,4.47,,0.518,L,0.01,,0.045,,,,0.114,,0.0708,,0.0027,,46,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-09-17 12:55,WATER,DISCRETE SAMPLE,4.2,,,,0,,4.347,,0.201,,0.036,,,,,,,,0.006,,3.82,,0.527,L,0.01,,0.067,,,,0.134,,0.0373,L,0.002,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330075,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-10-15 13:10,WATER,DISCRETE SAMPLE,5.1,,,,0,,5.41,,0.166,,0.056,,,,,,,,0.006,,4.4,,1.01,,0.023,,0.065,,,,0.101,,0.0636,,0.0073,,40,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330102,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-01-22 12:00,WATER,DISCRETE SAMPLE,4.28,,,,0,,3.639,,0.196,,0.016,,,,,,,,0.013,,3.26,,0.379,,0.104,,0.038,,,,0.158,,0.0181,,0.0023,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330109,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-02-16 13:30,WATER,DISCRETE SAMPLE,6.09,,,,0,,2.848,,0.18,,0.017,,,,,,,,0.01,,2.6,,0.248,,0.1,,0.02,,,,0.16,,0.0194,,0.0027,,18,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330128,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-03-18 11:20,WATER,DISCRETE SAMPLE,6.46,,,,0,,2.56,,0.218,,0.014,,,,,,,,0.006,,2.32,,0.24,,0.088,,0.026,,,,0.192,,0.0172,,0.0034,,9,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330029,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-06-25 14:20,WATER,TRIPLICATE SAMPLE,5.8,,,,0,,5.25,,0.25,,0.087,,,,,,,,0.005,,3.5,,1.75,,0.048,,0.112,,,,0.138,,0.0913,,0.0048,,81,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-06-25 14:25,WATER,TRIPLICATE SAMPLE,5.8,,,,PM,,5.02,,0.271,,0.085,,,,,,,,0.006,,3.52,,1.5,,0.048,,0.123,,,,0.148,,0.0896,,0.0046,,70,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-06-25 14:30,WATER,TRIPLICATE SAMPLE,5.8,,,,PM,,5.08,,0.254,,0.082,,,,,,,,0.007,,3.53,,1.55,,0.049,,0.112,,,,0.142,,0.087,,0.005,,80,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-07-23 12:20,WATER,DISCRETE SAMPLE,5.8,,,,0.001,,14.28,,0.826,,0.242,,,,,,,,0.015,,9.05,,5.23,,0.036,,0.577,,,,0.249,,0.247,,0.0055,,224,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-08-20 13:40,WATER,DISCRETE SAMPLE,6.8,,,,0.001,,17.98,,1.129,,0.273,,,,,,,,0.011,,10.8,,7.18,,0.038,,0.651,,,,0.478,,0.286,,0.0128,,260,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-09-17 12:35,WATER,DISCRETE SAMPLE,6.7,,,,0,,11.66,,0.384,,0.12,,,,,,,,0.009,,9.41,,2.25,L,0.01,,0.158,,,,0.226,,0.131,,0.0108,,112,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330097,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-10-07 13:28,WATER,DISCRETE SAMPLE,5.7,,,,0,,11.228,,0.349,,0.045,,,,,,,,0.007,,10.4,,0.828,L,0.01,,0.099,,,,0.25,,0.054,,0.0091,,28,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-01-21 14:30,WATER,DISCRETE SAMPLE,7.5,,,,0,,3.151,,0.176,,0.008,,,,,,,,0.01,,3.02,,0.131,,0.096,L,0.01,,,,0.171,,0.0149,,0.0069,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330120,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-02-18 12:15,WATER,DISCRETE SAMPLE,8,,,,0,,3.161,,0.176,,0.013,,,,,,,,0.006,,2.82,,0.341,,0.095,,0.022,,,,0.154,,0.0191,,0.0058,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-10-01 13:20,WATER,DISCRETE SAMPLE,6.5,,,,0,,9.23,,0.469,,0.017,,42.6,L,5,,,L,0.005,,7.87,,1.36,L,0.01,,0.138,,,,0.331,,0.0637,,0.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-08-25 14:00,WATER,DISCRETE SAMPLE,6.1,,,,0.005,,9.88,,0.528,,0.104,,85.5,,8.9,,,,0.123,,6.45,,3.43,,0.062,,0.291,,,,0.237,,0.12,,0.0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-10-22 13:35,WATER,DISCRETE SAMPLE,,,,,0,,11.886,,0.427,,0.028,,10,L,5,,,,0.008,,11.4,,0.486,,0.03,,0.071,,,,0.356,,0.0403,,0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-01-20 14:05,WATER,DISCRETE SAMPLE,7.17,,,,0,,3.633,,0.232,,0.005,,,,,,,,0.006,,3.37,,0.263,,0.102,,0.022,,,,0.21,,0.0234,,0.0181,,10,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-03-09 12:55,WATER,DISCRETE SAMPLE,8.32,,,,0,,3.208,,0.217,,0.034,,,,,,,,0.005,,2.81,,0.398,,0.091,,0.03,,,,0.187,,0.0397,,0.0055,,30,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-04-14 15:15,WATER,DISCRETE SAMPLE,9.12,,,,0,,5.44,,0.323,,0.089,,,,,,,,0.017,,3.55,,1.89,,0.113,,0.16,,,,0.163,,0.105,,0.0164,,74,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-06-18 12:35,WATER,DISCRETE SAMPLE,6.7,,,,0,,12.95,,0.567,,0.245,,,,,,,,0.01,,8.22,,4.73,,0.051,,0.279,,,,0.288,,0.257,,0.0116,,185,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
