"*Co-investigator /
Chercheur associé 
",,,,,,,,,,,,,,,,,,,
"*Co-investigator
Affiliation / 
Affiliation du chercheur associé
",,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information / Coor-données de chercheur Principal,kerry.pippy@ec.gc.ca,kerry.pippy@ec.gc.ca,,,,,,,,,,,,,,,,,
Data Steward(s) / Intendant(s) des données,Minzhen Su,Minzhen Su,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada ,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,
"Attribution / 
Attribution
","Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Nom du fichier de données [Nom du fichier de données], générée [année-mois-jour]. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ","Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et [s’il y a lieu, entrez les noms des contributeurs, des organismes de cofinancement ou des collaborateurs] pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,
"Quality Assurance Level and Disclaimer / 
Niveau d’assurance de la qualité et avis de non-responsa-bilité
","Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,
Flag column pertain to the numerical value in the data column immediately to the right / Colonne du marquer se rapportent à la valeur numérique dans les données de la colonne immédiatement à la droite,,,,,,,,,,,,,,,,,,,
Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station or Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Matrix /  Matrice,Sample Type / Type d'échantillon,Water Depth (m) / La profondeur de l’eau (m),Flag/Marqueur,MERCURY TOTAL (074475-L) ( NG/L) / Mercure total (074475-L) ( NG/L),Flag/Marqueur,METHYL MERCURY (111116-L) (NG/L) / Méthylmercure (111116-L) (NG/L),Flag/Marqueur,MERCURY TOTAL (109748-P) ( NG/L) / Mercure total (109748-P) ( NG/L),Flag/Marqueur,METHYL MERCURY (109750-P) (NG/L) / Méthylmercure (109750-P) (NG/L),Flag/Marqueur,METHYL MERCURY (005893-L) (NG/L) / Méthylmercure (005893-L) (NG/L)
2011PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-09-14 10:40,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-09-14 10:45,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-09-14 10:50,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-10-12 10:05,WATER,DISCRETE SAMPLE,6,,,,,,,,,,
2011PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-01-25 12:45,WATER,DISCRETE SAMPLE,0.6,,0.75,L,0.03,,,,,,
2011PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-02-27 12:00,WATER,DISCRETE SAMPLE,1.45,,,,,,,,,,
2011PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-03-27 10:45,WATER,DISCRETE SAMPLE,1.45,,,,,,,,,,
2012PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-05-30 12:00,WATER,DISCRETE SAMPLE,4M,,,,,,,,,,
2012PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-06-26 13:20,WATER,TRIPLICATE SAMPLE,,,11.7,,0.13,,,,,,
2012PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-06-26 13:25,WATER,TRIPLICATE SAMPLE,,,12.3,,0.16,,,,,,
2012PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-06-26 13:30,WATER,TRIPLICATE SAMPLE,,,12.2,,0.21,,,,,,
2012PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-07-24 10:05,WATER,DISCRETE SAMPLE,,,17.7,,0.17,,,,,,
2012PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-08-21 13:05,WATER,DISCRETE SAMPLE,4.4,,5.87,,0.12,,,,,,
2012PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-09-20 12:45,WATER,DISCRETE SAMPLE,,,4.11,,0.11,,,,,,
2012PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-10-18 12:45,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2012PN330072,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-01-26 11:45,WATER,DISCRETE SAMPLE,3,,0.82,,0.03,,,,,,
2012PN330076,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-02-26 11:27,WATER,DISCRETE SAMPLE,5,,0.74,L,0.03,,,,,,
2012PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-03-26 11:30,WATER,TRIPLICATE SAMPLE,7,,0.58,,0.04,,,,,,
2012PN330094,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-03-26 11:35,WATER,TRIPLICATE SAMPLE,7,,0.65,,0.03,,,,,,
2012PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-03-26 11:40,WATER,TRIPLICATE SAMPLE,7,,0.63,L,0.03,,,,,,
2013PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-05-28 13:15,WATER,TRIPLICATE SAMPLE,3.1,,12.1,,0.14,,,,,,
2013PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-05-28 13:20,WATER,TRIPLICATE SAMPLE,3.1,,14.1,,0.15,,,,,,
2013PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-05-28 13:25,WATER,TRIPLICATE SAMPLE,3.1,,12.6,,0.13,,,,,,
2013PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-06-13 15:30,WATER,DISCRETE SAMPLE,6.3,,45.7,,0.26,,,,,,
2013PN330040,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-06-26 12:20,WATER,DISCRETE SAMPLE,,,16.5,,0.33,,,,,,
2013PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-07-26 14:25,WATER,DISCRETE SAMPLE,3.4,,5.34,,0.16,,,,,,
2013PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-08-22 14:15,WATER,DISCRETE SAMPLE,2.9,,3.84,,0.08,,,,,,
2013PN330118,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-09-16 14:40,WATER,DISCRETE SAMPLE,2.2,,1.7,,0.05,,,,,,
2013PN330138,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-10-22 14:20,WATER,DISCRETE SAMPLE,1.8,,1.67,,0.05,,,,,,
2013PN330143,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-01-30 11:55,WATER,DISCRETE SAMPLE,3,,1.03,L,0.03,,,,,,
2013PN330150,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-02-26 11:50,WATER,DISCRETE SAMPLE,2,,0.73,,0.04,,,,,,
2013PN330155,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-03-25 10:40,WATER,DISCRETE SAMPLE,1.1,,1.03,,0.03,,,,,,
2014PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-05-27 14:30,WATER,DISCRETE SAMPLE,4.2,,11.2,,0.14,,,,,,
2014PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-06-26 13:41,WATER,DISCRETE SAMPLE,5,,11.9,,0.16,,,,,,
2014PN330112,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-07-24 13:55,WATER,DISCRETE SAMPLE,3.4,,4.34,,0.07,,,,,,
2014PN330130,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-08-19 12:30,WATER,DISCRETE SAMPLE,2.9,,2.89,,0.07,,,,,,
2014PN330157,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-09-17 11:45,WATER,DISCRETE SAMPLE,2.8,,1.72,,0.05,,,,,,
2014PN330172,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2014-10-21 12:43,WATER,DISCRETE SAMPLE,3.4,,1.44,,0.04,,,,,,
2014PN330185,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-02-17 11:45,WATER,TRIPLICATE SAMPLE,2.6,,0.55,L,0.03,,,,,,
2014PN330186,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-02-17 11:50,WATER,TRIPLICATE SAMPLE,2.6,,0.55,L,0.03,,,,,,
2014PN330187,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-02-17 11:55,WATER,TRIPLICATE SAMPLE,2.6,,0.56,L,0.03,,,,,,
2014PN330203,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-03-19 12:40,WATER,DISCRETE SAMPLE,3.18,,0.85,L,0.03,,,,,,
2015PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-06-03 12:21,WATER,DISCRETE SAMPLE,5.1,,7.33,,0.19,,,,,,
2015PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-07-27 14:11,WATER,DISCRETE SAMPLE,5.2,,2.77,,0.12,,,,,,
2015PN330087,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-08-26 12:40,WATER,TRIPLICATE SAMPLE,4.5,,1.7,,0.04,,,,,,
2015PN330088,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-08-26 12:45,WATER,TRIPLICATE SAMPLE,4.5,,1.74,,0.04,,,,,,
2015PN330089,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-08-26 12:50,WATER,TRIPLICATE SAMPLE,4.5,,1.67,,0.06,,,,,,
2015PN330125,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-09-23 12:45,WATER,DISCRETE SAMPLE,4,,1.32,,0.06,,,,,,
2015PN330126,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-09-23 13:10,WATER,DISCRETE SAMPLE,4,,1.3,L,0.03,,,,,,
2015PN330127,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2015-09-23 13:30,WATER,DISCRETE SAMPLE,4,,1.21,,0.06,,,,,,
2015PN330166,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-02-24 11:05,WATER,DISCRETE SAMPLE,2.6,,0.5,L,0.03,,,,,,
2015PN330168,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-03-23 13:20,WATER,DISCRETE SAMPLE,3,,0.47,L,0.03,,,,,,
2016PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-06-01 12:40,WATER,DISCRETE SAMPLE,7.3,,16.3,,0.39,,,,,,
2016PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-06-01 13:00,WATER,DISCRETE SAMPLE,1.6,,18.8,,0.59,,,,,,
2016PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-06-01 13:15,WATER,DISCRETE SAMPLE,3,,15.6,,0.51,,,,,,
