Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/26/2012 23:59:00,3.156,314.3,7.3,0.2,21.97,24.1,16.7,53.65,77.6,38.2,742.0,$743.9,740.9,0.01,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/27/2012 23:59:00,2.647,291.2,8.7,0.1,18.65,23.6,11.7,61.60,92.1,39.8,739.9,$741.0,739.1,0.08,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/28/2012 23:59:00,1.949,333.1,5.4,0.1,18.95,25.2,11.8,58.61,93.6,33.0,741.1,$741.9,740.2,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/29/2012 23:59:00,1.759,177.5,8.4,0.1,17.81,19.6,15.1,79.83,93.4,55.2,741.1,$742.8,739.7,7.53,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/30/2012 23:59:00,1.752,145.9,10.3,0.1,18.97,24.8,15.5,82.40,94.6,49.1,738.0,$739.7,736.4,0.97,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/31/2012 23:59:00,2.210,164.4,8.6,0.1,18.58,23.5,13.4,78.74,96.6,50.7,738.7,$740.3,737.8,0.68,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/01/2012 23:59:00,1.569,150.2,9.8,0.1,18.55,23.2,14.7,76.50,94.8,51.1,739.9,$740.3,739.4,5.47,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/02/2012 23:59:00,1.736,120.5,5.4,0.1,19.28,24.0,14.4,68.23,95.5,32.7,741.0,$741.6,740.0,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/03/2012 23:59:00,3.645,152.2,10.1,0.1,19.81,24.3,13.9,58.28,84.5,39.4,740.6,$741.8,738.1,0.04,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/04/2012 23:59:00,4.501,228.8,12.2,1.1,18.55,22.2,13.8,68.16,92.0,41.0,736.0,$738.2,734.5,3.89,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/05/2012 23:59:00,5.294,276.3,14.7,1.3,14.46,17.4,12.4,73.45,90.9,56.4,738.2,$742.1,735.8,0.25,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/06/2012 23:59:00,2.059,269.1,8.4,0.1,15.35,21.6,9.1,73.83,94.2,41.5,743.8,$744.8,742.1,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/07/2012 23:59:00,1.960,297.9,5.3,0.1,17.50,23.7,10.4,62.52,91.8,33.2,744.9,$745.7,743.7,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/08/2012 23:59:00,4.748,139.3,9.9,1.7,20.40,25.8,14.5,53.46,76.8,35.9,743.9,$745.9,740.7,0.05,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/09/2012 23:59:00,3.001,144.1,7.4,1.3,18.13,19.7,16.8,74.98,95.5,50.6,738.5,$740.9,737.7,1.24,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/10/2012 23:59:00,1.970,274.5,9.3,0.0,18.72,23.4,14.6,63.67,96.2,27.5,739.4,$740.6,737.9,4.19,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/11/2012 23:59:00,3.221,280.4,7.2,0.3,13.28,15.8,10.6,83.00,92.6,67.0,740.1,$743.6,737.9,6.70,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/12/2012 23:59:00,2.106,292.4,6.0,0.1,14.64,19.6,10.7,77.45,94.8,46.4,745.7,$746.8,743.6,0.01,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/13/2012 23:59:00,2.837,98.0,9.2,0.0,15.38,19.8,11.7,80.90,95.6,56.5,740.9,$745.2,737.2,27.96,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/14/2012 23:59:00,6.148,309.5,11.9,1.1,13.69,15.8,9.9,74.25,94.4,45.4,742.3,$746.3,737.7,1.18,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/15/2012 23:59:00,2.730,196.4,10.8,0.1,13.56,21.1,6.4,70.64,92.5,39.5,744.2,$746.6,741.0,5.66,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/16/2012 23:59:00,1.423,194.3,8.9,0.0,15.73,23.4,9.5,78.11,95.6,38.7,740.4,$741.1,738.9,6.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/17/2012 23:59:00,1.534,276.6,4.6,0.1,16.81,22.8,12.4,77.21,95.7,43.5,742.9,$743.9,740.6,1.04,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/18/2012 23:59:00,3.990,140.2,9.8,0.7,19.68,26.2,13.2,60.97,87.6,36.2,742.4,$744.3,738.8,0.02,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/19/2012 23:59:00,3.453,250.1,10.4,0.1,19.96,23.8,14.0,56.96,86.1,30.1,738.8,$741.2,737.0,0.01,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/20/2012 23:59:00,1.006,175.2,5.2,0.1,21.06,24.7,16.6,69.91,92.5,41.1,738.2,$738.8,737.9,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/21/2012 23:59:00,2.678,352.2,7.5,0.1,18.90,24.1,13.2,64.76,95.5,34.3,739.0,$739.6,738.2,0.05,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/22/2012 23:59:00,3.635,22.2,8.9,0.9,18.92,23.2,13.8,57.00,81.3,42.8,739.1,$739.9,737.6,0.07,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/23/2012 23:59:00,2.183,51.0,5.7,0.1,16.99,18.4,15.3,81.50,94.6,49.5,735.4,$737.7,733.2,8.33,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/24/2012 23:59:00,2.238,228.1,5.2,0.1,15.66,16.8,14.5,91.40,95.8,80.7,734.2,$735.1,733.2,0.04,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/25/2012 23:59:00,3.301,332.0,8.1,0.2,15.60,17.3,12.9,86.30,95.1,71.7,737.4,$740.0,734.9,0.11,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/26/2012 23:59:00,2.808,157.9,8.0,0.1,15.76,22.3,10.2,81.00,95.9,50.5,741.1,$742.2,740.1,5.21,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/27/2012 23:59:00,3.067,161.3,10.6,0.1,18.66,25.5,13.3,67.92,91.7,34.8,738.1,$740.2,735.3,0.07,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/28/2012 23:59:00,3.810,166.1,11.8,0.1,19.19,25.5,14.2,61.80,94.0,25.4,733.3,$735.3,731.6,1.29,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/29/2012 23:59:00,2.360,211.0,7.2,0.2,16.33,18.2,13.5,68.92,86.3,54.7,731.6,$732.4,731.0,0.52,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/30/2012 23:59:00,3.869,276.8,9.7,0.0,12.10,14.1,10.6,90.30,94.7,79.4,735.6,$739.8,732.2,15.67,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,08/31/2012 23:59:00,2.903,227.5,7.1,0.1,12.03,15.6,9.8,78.97,93.9,52.6,741.8,$742.7,739.8,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/01/2012 23:59:00,2.046,108.9,5.1,0.1,15.24,22.5,9.5,71.34,91.9,41.5,740.5,$742.3,737.5,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/02/2012 23:59:00,2.956,355.1,7.2,0.3,14.68,18.2,12.4,79.98,89.8,58.5,734.5,$737.5,732.2,0.70,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/03/2012 23:59:00,2.451,352.6,5.3,0.1,15.34,18.0,13.2,83.30,94.3,64.6,733.0,$736.9,731.0,0.28,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/04/2012 23:59:00,1.481,316.8,4.3,0.1,14.47,17.2,12.6,80.60,93.6,60.6,739.2,$740.3,736.9,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/05/2012 23:59:00,1.967,137.2,5.3,0.1,13.90,18.3,9.9,67.41,90.3,37.4,742.7,$744.3,740.3,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/06/2012 23:59:00,4.663,169.4,12.9,1.0,15.74,23.6,9.0,61.71,85.7,36.4,740.4,$744.1,737.3,1.20,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/07/2012 23:59:00,3.419,294.4,9.9,0.2,14.12,17.9,10.0,64.10,88.6,37.3,743.8,$747.0,739.1,0.05,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/08/2012 23:59:00,3.344,183.3,8.8,0.4,14.85,21.8,8.7,61.35,89.3,36.6,740.8,$746.6,737.4,0.06,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/09/2012 23:59:00,2.478,107.4,7.3,0.1,13.81,19.2,6.9,66.82,95.4,39.3,736.1,$739.1,731.0,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/10/2012 23:59:00,3.654,120.7,9.0,0.5,14.31,16.3,12.3,77.65,93.3,61.6,728.9,$731.0,727.7,7.68,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/11/2012 23:59:00,6.004,293.7,13.1,2.3,7.81,12.3,5.8,91.20,93.9,87.8,731.0,$737.6,726.8,31.69,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/12/2012 23:59:00,2.827,264.9,7.4,0.1,6.43,11.2,3.5,75.75,92.4,49.6,741.3,$743.3,737.5,0.04,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/13/2012 23:59:00,2.560,164.9,9.9,0.1,10.26,16.8,4.9,69.46,91.3,41.9,742.4,$743.1,741.4,0.05,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/14/2012 23:59:00,4.818,169.3,16.1,0.0,12.73,21.6,4.4,71.47,92.6,35.3,733.8,$741.4,728.2,0.93,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/15/2012 23:59:00,3.989,283.4,14.6,0.2,5.88,7.8,3.4,78.42,93.1,58.8,746.2,$750.4,736.2,0.24,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/16/2012 23:59:00,2.401,166.8,8.8,0.1,7.22,13.8,1.2,79.28,95.6,52.7,748.7,$751.1,744.4,0.00,0,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,09/17/2012 23:59:00,3.029,137.1,7.9,1.0,10.70,17.3,4.5,68.35,89.9,41.1,738.5,$744.4,732.7,0.00,0,,
