Water Quality Data from PISCES 2 located at the Slave River at Fitzgerald ,,,,,,,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 10:13:00,1.0,15.64,188,8.00,202.4,8.99,90.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 12:13:00,1.0,15.74,188,7.99,211.5,8.97,90.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 14:13:00,1.0,15.69,188,7.99,218.5,8.96,90.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 16:13:00,1.0,15.71,193,7.97,238.6,8.93,90.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 18:13:00,1.0,15.56,193,8.01,242.8,8.95,89.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 20:13:00,1.0,15.38,194,8.03,278.8,8.91,89.1,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/14/2012 22:13:00,1.0,15.21,195,8.03,298.3,8.85,88.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 00:13:00,1.0,15.08,195,8.02,309.6,8.82,87.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 02:13:00,1.0,14.96,195,8.01,310.7,8.83,87.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 04:13:00,1.0,14.80,195,8.00,324.4,8.83,87.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 06:13:00,1.0,14.69,195,8.01,325.3,8.83,87.1,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 08:13:00,1.0,14.54,196,7.99,327.4,8.84,86.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 10:13:00,1.0,14.57,197,7.96,338.2,8.81,86.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 12:13:00,1.0,14.66,198,7.91,341.6,8.79,86.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 14:13:00,1.0,14.71,199,7.94,343.2,8.79,86.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 16:13:00,1.0,14.70,200,8.02,348.8,8.79,86.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 18:13:00,1.0,14.67,218,8.09,354.4,8.90,87.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 20:13:00,1.0,14.46,225,8.08,392.9,8.87,87.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/15/2012 22:13:00,1.0,14.30,226,8.09,460.9,8.83,86.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 00:13:00,1.0,13.84,227,8.11,517.1,8.82,85.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 02:13:00,1.0,13.74,231,8.09,615.4,8.69,83.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 04:13:00,1.0,13.64,236,8.00,734.0,8.66,83.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 06:13:00,1.0,13.52,243,7.94,854.3,8.57,82.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 08:13:00,1.0,13.55,245,7.92,921.7,8.51,81.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 10:13:00,1.0,13.66,148,7.95,965.5,9.38,90.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 12:13:00,1.0,13.76,155,7.87,1035.4,9.10,87.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 14:13:00,1.0,13.87,158,7.89,1095.9,9.13,88.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 16:13:00,1.0,13.88,249,7.81,1136.3,8.94,86.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 18:13:00,1.0,13.92,247,8.08,1139.2,8.65,83.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 20:13:00,1.0,13.74,246,8.17,1155.9,8.76,84.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/16/2012 22:13:00,1.0,13.56,245,8.16,1148.3,8.77,84.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 00:13:00,1.0,13.51,243,8.14,1168.3,8.82,84.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 02:13:00,1.0,13.46,243,8.13,1184.7,8.82,84.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 04:13:00,1.0,13.43,242,8.11,1189.9,8.82,84.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 06:13:00,1.0,13.42,240,8.10,1194.9,8.83,84.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 08:13:00,1.0,13.34,239,8.10,1197.1,8.84,84.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 10:13:00,1.0,13.34,239,8.11,1219.1,8.83,84.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 12:13:00,1.0,13.36,238,8.07,1204.2,8.82,84.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 14:13:00,1.0,13.39,237,8.10,1228.8,8.80,84.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 16:13:00,1.0,13.37,237,8.11,1224.3,8.85,84.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 18:13:00,1.0,13.41,236,8.10,1234.7,8.82,84.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 20:13:00,1.0,13.42,235,8.10,1243.3,8.87,85.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/17/2012 22:13:00,1.0,13.39,235,8.10,1245.7,8.83,84.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 00:13:00,1.0,13.37,234,8.09,1244.9,8.84,84.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 02:13:00,1.0,13.36,234,8.11,1247.1,8.88,85.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 04:13:00,1.0,13.32,233,8.08,1254.4,8.88,85.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 06:13:00,1.0,13.26,233,8.08,1255.8,8.89,84.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 08:13:00,1.0,13.26,232,8.07,1256.2,8.85,84.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 10:13:00,1.0,13.29,232,8.06,1256.4,8.91,85.1,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 12:13:00,1.0,13.34,232,8.07,1256.9,8.90,85.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 14:13:00,1.0,13.46,232,8.05,1257.9,8.90,85.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 16:13:00,1.0,13.52,232,8.04,1257.4,8.88,85.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 18:13:00,1.0,13.51,231,8.08,1257.8,8.95,85.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 20:13:00,1.0,13.47,231,8.05,1255.9,8.93,85.7,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/18/2012 22:13:00,1.0,13.41,229,8.09,1256.3,8.97,86.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 00:13:00,1.0,13.33,228,8.09,1255.5,8.99,86.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 02:13:00,1.0,13.27,227,8.10,1255.5,9.16,87.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 04:13:00,1.0,13.19,226,8.07,1255.4,9.02,86.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 06:13:00,1.0,13.12,226,8.04,1254.9,8.98,85.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 08:13:00,1.0,13.21,226,8.05,1255.4,9.00,85.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 10:13:00,1.0,13.36,226,7.98,1256.6,8.99,86.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 12:13:00,1.0,13.57,226,7.96,1257.9,9.03,86.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 14:13:00,1.0,13.69,226,7.95,1257.9,9.04,87.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 16:13:00,1.0,13.79,226,8.00,1255.3,9.05,87.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 18:13:00,1.0,13.84,226,8.00,1255.4,9.05,87.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 20:13:00,1.0,13.97,225,8.03,1258.3,9.02,87.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/19/2012 22:13:00,1.0,13.65,225,8.09,1243.9,9.08,87.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 00:13:00,1.0,13.31,224,8.15,1237.2,9.17,87.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 02:13:00,1.0,13.06,223,8.15,1229.3,9.20,87.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 04:13:00,1.0,12.86,223,8.13,1221.8,9.22,87.3,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 06:13:00,1.0,12.88,223,8.12,1202.6,9.24,87.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 08:13:00,1.0,13.11,223,8.04,1194.6,9.23,87.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 10:13:00,1.0,13.28,223,8.02,1165.6,9.19,87.9,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 12:13:00,1.0,13.54,224,7.99,1180.5,9.20,88.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 14:13:00,1.0,13.54,221,8.14,939.9,9.26,89.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 16:13:00,1.0,13.32,221,8.12,924.0,9.30,89.0,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 18:13:00,1.0,13.40,221,8.08,903.9,9.43,90.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 20:13:00,1.0,13.73,220,8.01,892.9,9.39,90.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/20/2012 22:13:00,1.0,14.21,220,7.99,869.0,9.27,90.5,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 00:13:00,1.0,14.61,220,7.97,847.2,9.31,91.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 02:13:00,1.0,14.95,220,7.95,831.9,9.24,91.6,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 04:13:00,1.0,15.31,220,7.90,809.1,9.25,92.4,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 06:13:00,1.0,15.43,220,7.93,782.6,9.17,91.8,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 08:13:00,1.0,15.16,220,8.00,777.2,9.16,91.2,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 10:13:00,1.0,14.93,220,8.10,755.0,9.13,90.4,,,,,,,
