2012PN200136,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2012-08-07 12:22,WATER,VERTICAL INTEGRATED,3.4,,127.995,,0,,3.516,,6.289,,111.289,,0,,-0.084,,0.3,,12.236,,7.928,,139.883,,,,,,NA,,NA,,105,,32.5,,3.9,,0.06,,7.32,,7.76,,1.13,,6.38,,7.22,,18.2,,,,,,,,,,,,60,,245,,,,8.66,,7.86,,231,,19.99,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200137,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2012-08-07 12:31,WATER,VERTICAL INTEGRATED,3.16,,119.462,,0,,2.212,,8.756,,106.756,,0,,0.035,,0.32,,13.398,,7.861,,134.998,,,,,,NA,,NA,,98,,30.8,,4.55,,0.07,,7.25,,7.93,,1.13,,6.44,,7.69,,18.1,,,,,,,,,,,,60,,237,,,,8.66,,7.85,,233,,20.01,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200138,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2012-08-07 12:46,WATER,VERTICAL INTEGRATED,2.72,,117.634,,0,,1.85,,8.135,,104.635,,0,,0.086,,0.34,,13.951,,7.828,,133.734,,,,,,NA,,NA,,96.5,,30,,4.95,,0.06,,7.22,,8,,1.12,,6.52,,7.9,,17.9,,,,,,,,,,,,60,,234,,,,8.65,,7.87,,234,,20.02,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200139,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2012-08-07 12:58,WATER,VERTICAL INTEGRATED,2.76,,119.462,,0,,1.672,,8.588,,106.588,,0,,0.012,,0.34,,14.015,,8.026,,135.684,,,,,,NA,,NA,,98,,30.7,,5.11,,0.06,,7.27,,8.05,,1.14,,6.55,,8.09,,17.8,,,,,,,,,,,,60,,236,,,,8.66,,7.89,,234,,20.06,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200140,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-08-07 13:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,126.776,,0,,2.041,,7.371,,111.371,,0,,0.142,,0.28,,11.566,,7.705,,138.456,,,,,,NA,,NA,,104,,32.5,,3.08,,0.06,,7.34,,7.99,,1.15,,6.26,,6.78,,18.7,,,,,,,,,,,,60,,240,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200141,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-08-08 10:02,WATER,VERTICAL INTEGRATED,0.62,,127.995,,0,,3.205,,10.038,,115.038,,0,,-0.191,,0.24,,10.091,,8.181,,140.981,,,,,,NA,,NA,,105,,32.6,,1.42,,0.06,,8.17,,7.8,,1.19,,5.89,,6.01,,22.3,,,,,,,,,,,,45,,234,,,,8.73,,7.86,,245,,19.79,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200142,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-08-08 10:22,WATER,VERTICAL INTEGRATED,2.11,,124.338,,0,,2.147,,10.922,,112.922,,0,,0.097,,0.24,,9.939,,7.766,,137.617,,,,,,NA,,NA,,102,,32,,1.25,,0.06,,8.02,,7.96,,1.16,,5.83,,5.8,,22,,,,,,,,,,,,45,,231,,,,8.76,,7.96,,243,,19.81,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200143,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-08-08 10:34,WATER,VERTICAL INTEGRATED,2.94,,121.9,,0,,2.364,,11.926,,111.926,,0,,0.036,,0.22,,9.489,,7.838,,135.056,,,,,,NA,,NA,,100,,31.7,,0.99,,0.06,,7.96,,7.91,,1.13,,5.87,,5.46,,21.7,,,,,,,,,,,,45,,231,,,,8.83,,7.94,,240,,19.94,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200144,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-08-08 10:44,WATER,VERTICAL INTEGRATED,2.74,,124.338,,0,,1.867,,9.221,,111.221,,0,,0.151,,0.22,,9.51,,7.718,,135.742,,,,,,NA,,NA,,102,,31.5,,0.98,L,0.01,,7.91,,8.02,,1.14,,5.88,,5.44,,21.5,,,,,,,,,,,,45,,229,,,,8.89,,7.97,,240,,20.03,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200145,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-08-08 10:54,WATER,VERTICAL INTEGRATED,3.19,,125.557,,0,,1.799,,9.297,,112.297,,0,,0.178,,0.22,,9.349,,7.684,,136.567,,,,,,NA,,NA,,103,,31.7,,0.94,,0.07,,8.05,,8.04,,1.15,,5.89,,5.39,,21.4,,,,,,,,,,,,50,,227,,,,8.96,,7.98,,240,,20.08,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200146,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-08-08 11:27,WATER,VERTICAL INTEGRATED,3.06,,124.338,,0,,1.782,,9.218,,111.218,,0,,0.033,,0.22,,9.399,,7.973,,135.307,,,,,,NA,,NA,,102,,31.4,,0.95,,0.06,,7.97,,8.04,,1.14,,5.84,,5.37,,21.2,,,,,,,,,,,,50,,227,,,,8.99,,7.96,,240,,20.17,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200147,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-08-08 12:00,WATER,VERTICAL INTEGRATED,3.26,,124.338,,0,,1.741,,8.971,,110.971,,0,,0.18,,0.23,,9.639,,7.691,,135.637,,,,,,NA,,NA,,102,,31.4,,1.14,,0.06,,7.91,,8.05,,1.15,,5.89,,5.51,,21.2,,,,,,,,,,,,50,,227,,,,9.02,,7.92,,240,,20.2,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200148,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-08-08 12:13,WATER,VERTICAL INTEGRATED,3.52,,118.853,,0,,1.743,,8.529,,106.029,,0,,0.118,,0.28,,11.953,,7.793,,132.655,,,,,,NA,,NA,,97.5,,29.8,,2.85,,0.06,,7.68,,8.03,,1.1,,6.21,,6.7,,19.6,,,,,,,,,,,,55,,224,,,,8.97,,7.95,,237,,20.24,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200149,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-08-08 12:24,WATER,VERTICAL INTEGRATED,3.6,,110.929,,0,,2.006,,5.606,,96.606,,0,,-0.045,,0.42,,17.319,,8.03,,129.41,,,,,,NA,,NA,,91,,26.9,,7.28,,0.06,,7.15,,7.94,,1.01,,6.67,,9.42,,16.2,,,,,,,,,,,,60,,216,,,,8.84,,7.93,,232,,20.38,,,,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200150,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-08-08 12:37,WATER,VERTICAL INTEGRATED,3.02,,101.177,,0,,1.788,,5.052,,88.052,,0,,-0.244,,0.54,,22.2,,8.438,,125.193,,,,,,NA,,NA,,83,,24.2,,11.3,,0.06,,6.71,,7.95,,0.94,,7.19,,11.7,,13.2,,,,,,,,,,,,60,,214,,,,8.72,,7.9,,229,,20.6,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200151,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-08-08 12:54,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,121.291,,0,,2.094,,7.196,,106.696,,0,,0.061,,0.28,,11.714,,7.838,,134.208,,,,,,NA,,NA,,99.5,,30.1,,2.83,,0.06,,7.66,,7.96,,1.11,,6.09,,6.59,,19.9,,,,,,,,,,,,50,,224,,,,,,,,,,,,,,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200152,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2012-08-28 11:41,WATER,VERTICAL INTEGRATED,1.05,,134.09,,0,,1.353,,20.052,,130.052,,0,,0.259,,0.32,,12.237,,7.673,,156.904,,,,,,NA,,NA,,110,,36.7,,3.48,,0.08,,9.33,,8.19,,1.1,,5.05,,8.42,,26.7,,,,,,,,,,,,30,,263,,,,8.92,,8.09,,288,,19.54,,,,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200153,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2012-08-28 11:55,WATER,VERTICAL INTEGRATED,0.94,,134.09,,0,,1.291,,19.387,,129.387,,0,,0.276,,0.32,,12.23,,7.657,,157.434,,,,,,NA,,NA,,110,,36.5,,3.48,,0.09,,9.29,,8.21,,1.07,,4.99,,8.37,,27.6,,,,,,,,,,,,25,,263,,,,8.89,,8.1,,287,,19.54,,,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200154,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2012-08-28 12:25,WATER,VERTICAL INTEGRATED,0.1,,134.09,,0,,1.176,,20.883,,130.883,,0,,0.329,,0.32,,12.156,,7.593,,156.994,,,,,,NA,,NA,,110,,37,,3.4,,0.1,,9.35,,8.25,,1.1,,4.99,,8.41,,26.6,,,,,,,,,,,,25,,264,,,,8.91,,8.15,,286,,19.76,,,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200155,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2012-08-28 12:45,WATER,VERTICAL INTEGRATED,0.27,,134.09,,0,,3.436,,20.921,,130.921,,0,,-0.134,,0.32,,12.128,,8.057,,156.944,,,,,,NA,,NA,,110,,36.9,,3.39,,0.1,,9.42,,7.79,,1.1,,5,,8.39,,26.6,,,,,,,,,,,,25,,262,,,,8.88,,8.07,,286,,19.72,,,,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200156,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-08-28 12:57,WATER,TRIPLICATE SAMPLE,0.7,,134.09,,0,,0.751,,19.923,,129.923,,0,,0.512,,0.32,,12.162,,7.417,,157.134,,,,,,NA,,NA,,110,,36.5,,3.55,,0.09,,9.42,,8.44,,1.06,,5.02,,8.35,,27.1,,,,,,,,,,,,25,,262,,,,8.88,,8.07,,286,,19.72,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200157,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2012-08-28 13:35,WATER,VERTICAL INTEGRATED,1.8,,131.652,,0,,1.182,,23.127,,131.127,,0,,0.459,,0.32,,12.101,,7.322,,155.534,,,,,,NA,,NA,,108,,36.9,,3.4,,0.09,,9.47,,8.24,,1.08,,5.07,,8.38,,26.3,,,,,,,,,,,,25,,258,,,,8.87,,8.07,,285,,19.73,,,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200158,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2012-08-28 13:43,WATER,VERTICAL INTEGRATED,2.49,,136.528,,0,,1.378,,17.923,,129.923,,0,,0.42,,0.32,,12.224,,7.351,,157.374,,,,,,NA,,NA,,112,,36.5,,3.59,,0.06,,9.42,,8.19,,1.08,,5.08,,8.4,,26,,,,,,,,,,,,30,,260,,,,8.85,,7.99,,285,,19.68,,,,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200159,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2012-08-28 13:52,WATER,VERTICAL INTEGRATED,4.16,,136.528,,0,,1.225,,16.842,,128.842,,0,,0.465,,0.34,,12.8,,7.31,,157.404,,,,,,NA,,NA,,112,,36.1,,4.08,,0.09,,9.4,,8.24,,1.07,,5.14,,8.78,,25.5,,,,,,,,,,,,30,,255,,,,8.84,,8.05,EVENTF,284,,19.65,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200160,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-08-28 14:05,WATER,VERTICAL INTEGRATED,5.79,,130.433,,0,,1.256,,16.814,,123.814,,0,,0.241,,0.38,,14.522,,7.728,,153.884,,,,,,NA,,NA,,107,,34.4,,5.72,,0.09,,9.21,,8.21,,1.07,,5.38,,9.77,,24,,,,,,,,,,,,30,,252,,,,8.85,,8.02,EVENTF,282,,19.58,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200161,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-08-28 14:24,WATER,VERTICAL INTEGRATED,5.16,,129.214,,0,,1.274,,14.908,,120.908,,0,,0.218,,0.45,,16.871,,7.764,,155.464,,,,,,NA,,NA,,106,,33.5,,8.4,,0.09,,9.05,,8.2,,1.07,,5.71,,11.4,,22.6,,,,,,,,,,,,35,,265,,,,8.92,,8.02,,282,,19.7,,,,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200162,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-08-28 14:29,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,134.09,,0,,1.322,,16.638,,126.638,,0,,0.408,,0.37,,13.883,,7.384,,155.754,,,,,,NA,,NA,,110,,35.3,,5.25,,0.09,,9.35,,8.2,,1.07,,5.27,,9.48,,23.9,,,,,,,,,,,,30,,259,,,,,,,,,,,,,,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200163,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2012-08-29 10:53,WATER,VERTICAL INTEGRATED,2.25,,137.747,,0,,1.327,,19.522,,132.522,,0,,0.446,,0.32,,11.949,,7.318,,158.474,,,,,,NA,,NA,,113,,36.7,,3.47,,0.09,,9.93,,8.21,,1.11,,4.98,,8.35,,26,,,,,,,,,,,,25,,263,,,,8.91,,7.9,,287,,19.64,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200164,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2012-08-29 11:02,WATER,VERTICAL INTEGRATED,2.5,,136.528,,0,,1.284,,21.222,,133.222,,0,,0.452,,0.32,,12.073,,7.316,,158.064,,,,,,NA,,NA,,112,,36.7,,3.7,,0.09,,10.1,,8.22,,1.08,,5.06,,8.49,,25.6,,,,,,,,,,,,25,,258,,,,8.9,,7.86,,286,,19.7,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200165,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2012-08-29 11:11,WATER,VERTICAL INTEGRATED,2.59,,134.09,,0,,1.232,,21.723,,131.723,,0,,0.448,,0.33,,12.469,,7.335,,156.474,,,,,,NA,,NA,,110,,36.1,,4.02,,0.09,,10.1,,8.23,,1.08,,5.13,,8.71,,25.2,,,,,,,,,,,,25,,256,,,,8.89,,7.9,EVENTF,285,,19.71,,,,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200166,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2012-08-29 11:23,WATER,VERTICAL INTEGRATED,2.97,,135.309,,0,,1.243,,20.885,,131.885,,0,,0.45,,0.34,,12.852,,7.33,,157.504,,,,,,NA,,NA,,111,,36,,4.48,,0.09,,10.2,,8.23,,1.1,,5.16,,9.03,,24.8,,,,,,,,,,,,30,,258,,,,8.9,,7.85,,285,,19.7,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200167,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-08-29 11:35,WATER,VERTICAL INTEGRATED,2.71,,129.214,,0,,1.216,,23.226,,129.226,,0,,0.258,,0.37,,13.891,,7.704,,154.334,,,,,,NA,,NA,,106,,35.1,,5.61,,0.08,,10.1,,8.22,,1.09,,5.33,,9.68,,23.7,,,,,,,,,,,,30,,257,,,,8.9,,7.88,,283,,19.66,,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200168,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2012-08-29 12:31,WATER,VERTICAL INTEGRATED,2.71,,129.214,,0,,1.133,,22.639,,128.639,,0,,0.434,,0.39,,14.709,,7.382,,155.054,,,,,,NA,,NA,,106,,34.7,,6.59,,0.09,,10.2,,8.25,,1.07,,5.46,,10.3,,23,,,,,,,,,,,,25,,259,,,,8.91,,7.93,,283,,19.64,,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200169,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2012-08-29 12:42,WATER,VERTICAL INTEGRATED,2.66,,129.214,,0,,1.216,,22.714,,128.714,,0,,0.401,,0.41,,15.187,,7.419,,155.694,,,,,,NA,,NA,,106,,34.4,,7.25,,0.09,,10.4,,8.22,,1.07,,5.54,,10.7,,22.6,,,,,,,,,,,,30,,261,,,,8.92,,8,,283,,19.61,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200170,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2012-08-29 12:52,WATER,VERTICAL INTEGRATED,2.24,,127.995,,0,,1.233,,22.627,,127.627,,0,,0.379,,0.42,,15.417,,7.453,,154.864,,,,,,NA,,NA,,105,,33.8,,7.55,,0.09,,10.5,,8.21,,1.06,,5.52,,10.8,,22.5,,,,,,,,,,,,35,,260,,,,8.94,,8.03,,283,,19.66,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200171,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-08-29 13:06,WATER,VERTICAL INTEGRATED,0.97,,127.995,,0,,1.122,,24.449,,129.449,,0,,0.274,,0.42,,15.588,,7.702,,155.894,,,,,,NA,,NA,,105,,34.2,,7.78,,0.09,,10.7,,8.25,,1.09,,5.59,,11.1,,22.3,,,,,,,,,,,,30,,263,,,,8.94,,8.06,,284,,19.73,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
