STB RIFF WSC - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River near Water Survey Canada Discharge Station,Steepbank,"56° 59' 58.020"" N","111° 24' 23.700"" W",56.99945,-111.4065833,2012-06-26,4.67,0.08,,,,
STB RIFF WSC - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River near Water Survey Canada Discharge Station,Steepbank,"56° 59' 58.020"" N","111° 24' 23.700"" W",56.99945,-111.4065833,2012-07-10,7.71,0.07,,,,
STB RIFF WSC - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River near Water Survey Canada Discharge Station,Steepbank,"56° 59' 58.020"" N","111° 24' 23.700"" W",56.99945,-111.4065833,2012-07-25,3.59,0.22,,,,
STB RIFF WSC - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River near Water Survey Canada Discharge Station,Steepbank,"56° 59' 58.020"" N","111° 24' 23.700"" W",56.99945,-111.4065833,2012-08-11,2.30,0.23,,,,
STB RIFF WSC - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River near Water Survey Canada Discharge Station,Steepbank,"56° 59' 58.020"" N","111° 24' 23.700"" W",56.99945,-111.4065833,2012-08-27,2.35,0.17,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-04,1.27,0.03,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-11,0.78,0.03,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-12,0.79,0.04,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-13,1.01,0.04,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-15,1.31,0.05,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-16,1.24,0.04,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-18,1.10,0.05,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-19,1.49,0.06,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-20,2.16,0.07,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-25,5.37,0.04,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-26,6.42,0.07,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-28,4.89,0.05,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-04-29,5.69,0.03,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-05-01,6.07,0.03,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-05-02,7.47,0.02,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-05-03,9.00,0.03,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-05-10,3.95,0.01,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-05-16,2.64,0.02,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-05-22,5.15,0.05,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-06-05,2.85,0.04,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-06-12,2.30,0.09,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-06-26,4.38,0.02,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-08-11,2.27,0.16,,,,
STB RIFF 1- Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"57° 1' 23.460"" N","111° 28' 32.580"" W",57.02242,-111.47672,2012-08-27,2.28,0.17,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-11,0.87,0.02,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-12,0.85,0.03,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-13,1.19,0.04,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-15,1.30,0.05,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-16,1.24,0.04,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-18,1.11,0.03,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-19,1.48,0.04,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-20,1.59,0.06,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-25,3.26,0.06,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-26,4.24,0.02,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-28,4.08,0.02,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-04-29,4.19,0.02,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-05-01,5.09,0.02,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-05-02,5.10,0.04,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-05-03,5.09,0.03,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-05-10,2.66,0.01,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-05-16,2.31,0.05,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-05-22,3.24,0.04,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-06-05,2.31,0.13,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-06-12,2.40,0.13,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-06-19,14.58,0.15,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-06-26,5.20,0.07,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-07-10,6.01,0.05,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-07-25,3.29,0.21,,,,
STB RIFF 7 - Oil Sands CABIN Biomonitoring - Indicator - WQ Event Station Steepbank River ,Steepbank,"56° 58' 46.320"" N","111° 17' 55.140"" W",56.978528,-111.297333,2012-08-11,2.28,0.14,,,,
