2012PN510174,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-01 14:40,WATER,TRIPLICATE SAMPLE - rep3,,92.156,,0,,1.961,,0,,75.378,,0,,PM,,0.14,,7.209,,PM,,89.677,,60,,NA,,NA,,75.6,,19.8,,,,1.05,,0.09,,6.3,,,,7.87,,1.75,,,,9.67,,,,2.77,,,,157,,2.71,,,,,,13,,,,,,,,,,,
2012PN510178,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-02 11:33,WATER,DISCRETE SAMPLE,,93.01,,0,,1.762,,0.406,,76.706,,0,,-0.831,,0.14,,7.011,,9.582,,90.388,,60,,NA,,NA,,76.3,,20.2,,,,1.03,,0.1,,6.38,,,,7.92,,1.65,,,,9.63,,,,2.73,,,,162,,2.72,,13.3,,6.3,,11,,,,,,,,,,,
2012PN510192,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-03 12:07,WATER,DISCRETE SAMPLE,,NC,,NC,,NC,,NC,,75.584,,NC,,NC,,0.14,,7.263,,NC,,NC,,65,,DS,,DS,,DS,,19.8,,,,1.06,,0.09,,6.35,,,,DS,,1.54,,,,9.52,,,,2.79,,,,DS,,2.88,,9.52,,7.5,,10,,,,,,,,,,,
2012PN510204,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-04 12:55,WATER,DISCRETE SAMPLE,,104.225,,0,,1.718,,0,,76.459,,0,,-0.145,,0.14,,7.098,,8.269,,95.051,,60,,NA,,NA,,85.5,,20.2,,,,0.96,,0.08,,6.32,,,,7.98,,1.48,,,,9.49,,,,2.75,,,,160,,2.36,,11.15,,8.6,,8.3,,,,,,,,,,,
2012PN510207,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-06 11:00,WATER,DISCRETE SAMPLE,,94.229,,0,,1.914,,0.49,,77.79,,0,,-0.266,,0.14,,7.253,,8.422,,90.673,,60,,NA,,NA,,77.3,,20.7,,,,0.93,,0.08,,6.34,,,,7.89,,1.42,,,,9.31,,,,2.86,,,,161,,2.56,,9.15,,9.2,,6.7,,,,,,,,,,,
2012PN510222,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-08 11:45,WATER,DISCRETE SAMPLE,,97.398,,0,,2.121,,0.996,,80.896,,0,,-0.268,,0.14,,7.263,,8.397,,93.819,,55,,NA,,NA,,79.9,,21.4,,,,1.04,,0.06,,6.67,,,,7.86,,1.29,,,,9,,,,2.97,,,,165,,3.4,,10.58,,10.1,,6.8,,,,,,,,,,,
2012PN510234,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-10 15:02,WATER,DISCRETE SAMPLE,,102.03,,0,,1.395,,0,,82.312,,0,,-0.037,,0.14,,7.183,,8.135,,96.094,,50,,NA,,NA,,83.7,,22,,,,1.01,,0.06,,6.65,,,,8.06,,1.18,,,,8.53,,,,2.98,,,,170,,3.42,,11.25,,10.7,,7.4,,,,,,,,,,,
2012PN510239,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-12 10:23,WATER,DISCRETE SAMPLE,,104.468,,0,,1.429,,0,,83.135,,0,,-0.027,,0.15,,7.499,,8.114,,96.574,,50,,NA,,NA,,85.7,,22,,,,0.98,,0.09,,6.85,,,,8.06,,1.13,,,,8.48,,,,3.15,,,,173,,2.43,,11.9,,9,,5.8,,,,,,,,,,,
2012PN510251,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-16 12:18,WATER,DISCRETE SAMPLE,,104.59,,0,,1.892,,1.485,,87.285,,0,,-0.506,,0.15,,7.148,,8.952,,97.824,,45,,NA,,NA,,85.8,,23.2,,,,1.17,,0.09,,7.13,,,,7.94,,0.96,,,,7.64,,,,3.13,,,,177,,2.98,,11.46,,12.2,,5.9,,,,,,,,,,,
2012PN510267,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-22 13:40,WATER,TRIPLICATE SAMPLE - rep1,,104.103,,0,,1.927,,0.603,,86.003,,0,,-0.544,,0.14,,7.041,,9.017,,96.084,,40,,NA,,NA,,85.4,,23,,,,1.04,,0.09,,6.94,,,,7.93,,0.84,,,,7.17,,,,3.03,,,,173,,2.69,,11.29,,11.5,,6.3,,,,,,,,,,,
2012PN510268,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-22 13:45,WATER,TRIPLICATE SAMPLE - rep2,,104.103,,0,,1.883,,1.061,,86.461,,0,,PM,,0.14,,7.073,,PM,,96.474,,40,,NA,,NA,,85.4,,23.2,,,,1.06,,0.09,,6.93,,,,7.94,,0.82,,,,7.28,,,,3.06,,,,175,,2.75,,,,,,6.2,,,,,,,,,,,
2012PN510269,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-22 13:50,WATER,TRIPLICATE SAMPLE - rep3,,103.127,,0,,1.909,,1.03,,85.63,,0,,PM,,0.14,,7.027,,PM,,95.364,,40,,NA,,NA,,84.6,,22.9,,,,0.99,,0.08,,6.91,,,,7.93,,0.83,,,,7.24,,,,3.01,,,,174,,2.6,,,,,,6.2,,,,,,,,,,,
2012PN510273,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-05-28 11:00,WATER,DISCRETE SAMPLE,,103.249,,0,,2.049,,5.29,,89.99,,0,,-0.464,,0.15,,7.07,,8.828,,96.954,,50,,NA,,NA,,84.7,,24.3,,,,0.94,,0.08,,7.12,,,,7.9,,0.78,,,,7.31,,,,3.18,,,,174,,2.38,,9.68,,14.3,,4.5,,,,,,,,,,,
2012PN510295,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-06-05 12:48,WATER,DISCRETE SAMPLE,,124.338,,0,,1.867,,2.751,,104.751,,0,,-0.177,,0.15,,6.814,,8.374,,114.304,,35,,NA,,NA,,102,,28.2,,,,1.37,,0.1,,8.34,,,,8.02,,0.73,,,,8.28,,,,3.55,,,,201,,2.49,,11.62,,15.2,,3.2,,,,,,,,,,,
2012PN510312,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-06-12 16:30,WATER,DISCRETE SAMPLE,,131.652,,0,,1.21,,0,,105.404,,0,,0.138,,0.13,,5.848,,7.955,,118.064,,35,,NA,,NA,,108,,29.5,,,,1.39,,0.11,,7.71,,,,8.23,,0.61,,,,8.54,,,,3.03,,,,212,,2.33,,10.71,,17.2,,2,,,,,,,,,,,
2012PN510329,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-06-19 10:53,WATER,TRIPLICATE SAMPLE - rep1,,129.214,,0,,2.081,,0,,104.666,,0,,-0.199,,0.15,,6.632,,8.387,,116.394,,35,,NA,,NA,,106,,28.1,,,,1.11,,0.09,,8.38,,,,7.99,,0.59,,,,8.26,,,,3.44,,,,207,,2.78,,8.86,,15,,3.4,,,,,,,,,,,
2012PN510330,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-06-19 10:58,WATER,TRIPLICATE SAMPLE - rep2,,130.433,,0,,2.1,,0,,104.628,,0,,PM,,0.14,,6.418,,PM,,116.744,,35,,NA,,NA,,107,,28.2,,,,1.11,,0.09,,8.31,,,,7.99,,0.59,,,,8.32,,,,3.32,,,,206,,2.56,,,,,,3.5,,,,,,,,,,,
2012PN510331,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-06-19 11:03,WATER,TRIPLICATE SAMPLE - rep3,,129.214,,0,,2.033,,0,,104.543,,0,,PM,,0.14,,6.405,,PM,,115.934,,35,,NA,,NA,,106,,28.1,,,,1.14,,0.1,,8.35,,,,8,,0.58,,,,8.21,,,,3.31,,,,205,,2.5,,,,,,3.6,,,,,,,,,,,
2012PN510347,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-06-26 11:50,WATER,DISCRETE SAMPLE,,97.52,,0,,22.94,,13.887,,93.887,,0,,-1.38,,0.16,,7.683,,9.59,,96.314,,65,,NA,,NA,,80,,25.3,,,,0.74,,0.13,,7.46,,,,6.83,,0.42,,,,8.36,,,,3.61,,,,168,,2.25,,9.41,,19.6,,3.5,,,,,,,,,,,
2012PN510363,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-07-10 12:51,WATER,DISCRETE SAMPLE,,83.502,,0,,3.172,,12.116,,80.616,,0,,-0.667,,0.15,,7.44,,8.953,,85.302,,135,,NA,,NA,,68.5,,21.7,,,,0.48,,0.1,,6.42,,,,7.62,,0.49,,,,9.92,,,,3,,,,144,,2.03,,7.03,,21.4,,,,8.59,,,,,,,,,
2012PN510376,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-07-25 10:32,WATER,DISCRETE SAMPLE,,123.119,,0,,2.227,,7.151,,108.151,,0,,-0.109,,0.13,,5.876,,8.157,,115.524,,100,,NA,,NA,,101,,29.1,,,,0.83,,0.09,,8.62,,,,7.94,,0.5,,,,11.4,,,,3.12,,,,192,,1.22,,9.16,,19.8,,,,3.79,,,,,,,,,
2012PN510397,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-08-11 11:01,WATER,TRIPLICATE SAMPLE - rep1,,140.185,,0,,1.35,,2.399,,117.399,,0,,0.186,,0.14,,5.976,,7.837,,128.814,,70,,NA,,NA,,115,,31.6,,,,1.44,,0.11,,9.35,,,,8.21,,0.59,,,,11.2,,,,3.45,,,,218,,2.03,,10.7,,17.7,,,,2.67,,,,,,,,,
2012PN510398,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-08-11 11:06,WATER,TRIPLICATE SAMPLE - rep2,,141.404,,0,,1.427,,2.066,,118.066,,0,,0.174,,0.14,,5.928,,7.841,,129.784,,75,,NA,,NA,,116,,31.9,,,,1.45,,0.12,,9.33,,,,8.19,,0.6,,,,11.3,,,,3.44,,,,220,,2,,,,,,,,2.94,,,,,,,,,
2012PN510399,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-08-11 11:11,WATER,TRIPLICATE SAMPLE - rep3,,141.404,,0,,1.427,,1.649,,117.649,,0,,0.172,,0.14,,5.947,,7.847,,129.544,,70,,NA,,NA,,116,,31.7,,,,1.45,,0.11,,9.35,,,,8.19,,0.61,,,,11.2,,,,3.44,,,,217,,2.04,,,,,,,,2.94,,,,,,,,,
2012PN510423,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-08-27 15:50,WATER,DISCRETE SAMPLE,,140.185,,0,,0.785,,0,,113.578,,0,,0.632,,0.14,,6.041,,7.176,,125.714,,50,,NA,,NA,,115,,31.9,,,,1.23,,0.11,,8.24,,,,8.44,,0.68,,,,9.22,,,,3.38,,,,221,,1.91,,11.36,,18.32,,,,2.71,,,,,,,,,
2012PN510440,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-10-10 10:53,WATER,DISCRETE SAMPLE,,109.71,,0,,1.399,,5.328,,95.328,,0,,-0.574,,0.13,,6.163,,9.238,,105.535,,80,,NA,,NA,,90,,25.3,,,,1.11,,0.06,,7.81,,,,8.09,,0.62,,,,12.1,,,,2.9,,,,182,,1.56,,12.5,,4.1,,,,4.33,,,,,,,,,
2012PN520071,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-11-14 10:40,WATER,TRIPLICATE SAMPLE - rep1,,126.776,,0,,3.03,,1.913,,105.913,,0,,PM,,0.14,,6.361,,PM,,121.835,,70,,NA,,NA,,104,,27,,,,1.53,,0.09,,9.35,,,,7.82,,0.63,,,,14.5,,,,3.33,,,,207,,2.81,,,,,,,,2.16,,,,,,,,,
2012PN520072,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-11-14 10:45,WATER,TRIPLICATE SAMPLE - rep2,,126.776,,0,,2.698,,1.386,,105.386,,0,,PM,,0.14,,6.426,,PM,,121.859,,70,,NA,,NA,,104,,27.3,,,,1.53,,0.09,,9.04,,,,7.87,,0.63,,,,14.5,,,,3.35,,,,210,,2.82,,,,,,,,2.18,,,,,,,,,
2012PN520069,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2012-11-14 10:50,WATER,TRIPLICATE SAMPLE - rep3,,125.557,,0,,2.865,,0.133,,103.133,,0,,-0.905,,0.14,,6.338,,9.65,,120.245,,70,,NA,,NA,,103,,26.2,,,,1.54,,0.09,,9.16,,,,7.84,,0.61,,,,14.6,,,,3.23,,,,208,,2.82,,12.85,,0,,,,2.25,,,,,,,,,
2012PN510464,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-03-17 11:40,WATER,DISCRETE SAMPLE,,162.127,,0,,6.757,,3.677,,136.677,,0,,-0.114,,0.16,,6.199,,7.808,,156.422,,33,,NA,,NA,,133,,36.6,,,,1.92,,0.11,,11,,,,7.58,,1.04,,,,17.2,,,,4.19,,,,267,,3.76,,,,,,,,1.68,,,,,,,,,
2013PN510002,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-05 12:20,WATER,DISCRETE SAMPLE,,154.813,,0,,7.412,,3.711,,130.711,,0,,-0.209,,0.15,,6.124,,7.939,,149.521,,30,,NA,,NA,,127,,,,35.2,,1.59,,0.1,,,,10.4,,7.52,,,,1.12,,,,16.4,,,,3.96,,253,,3.74,,,,,,,,3.14,,,,,,,,,
2013PN510023,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-09 15:20,WATER,DISCRETE SAMPLE,,153.594,,0,,6.112,,4.887,,130.887,,0,,-0.127,,0.14,,5.846,,7.855,,148.687,,30,,NA,,NA,,126,,,,35.6,,1.63,,0.1,,,,10.2,,7.6,,,,1.01,,,,16.4,,,,3.77,,254,,3.58,,,,,,,,2.91,,,,,,,,,
2013PN510038,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-13 14:35,WATER,DISCRETE SAMPLE,,152.375,,0,,5.401,,3.889,,128.889,,0,,-0.091,,0.16,,6.528,,7.832,,147.163,,30,,NA,,NA,,125,,,,34.8,,1.6,,0.1,,,,10.2,,7.65,,,,1.1,,,,15.7,,,,4.18,,246,,3.73,,,,,,,,4.11,,,,,,,,,
2013PN510049,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-18 10:50,WATER,DISCRETE SAMPLE,,148.718,,0,,5.151,,3.242,,125.242,,0,,-0.101,,0.14,,5.756,,7.862,,142.606,,30,,NA,,NA,,122,,,,33.9,,1.55,,0.1,,,,9.86,,7.66,,,,1.01,,,,15,,,,3.55,,241,,3.74,,,,,,,,4.18,,,,,,,,,
2013PN510067,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-22 15:28,WATER,DISCRETE SAMPLE,,145.061,,0,,4.079,,3.122,,122.122,,0,,-0.036,,0.14,,6.074,,7.822,,139.073,,40,,NA,,NA,,119,,,,32.7,,1.58,,0.1,,,,9.83,,7.75,,,,1.11,,,,14.5,,,,3.67,,236,,3.62,,,,,,,,4.8,,,,,,,,,
2013PN510079,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-24 12:40,WATER,DISCRETE SAMPLE,,147.499,,0,,3.067,,1.657,,122.657,,0,,0.1,,0.14,,6,,7.679,,140.238,,25,,NA,,NA,,121,,,,32.7,,1.58,,0.1,,,,9.96,,7.88,,,,1.15,,,,14.3,,,,3.64,,234,,3.69,,,,,,,,4.54,,,,,,,,,
2013PN510098,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-27 11:45,WATER,DISCRETE SAMPLE,,141.404,,0,,3.01,,1.558,,117.558,,0,,0.056,,0.14,,5.934,,7.758,,134.171,,40,,NA,,NA,,116,,,,31.4,,1.53,,0.1,,,,9.51,,7.87,,,,1.17,,,,13.6,,,,3.45,,231,,3.39,,,,,,,,4.87,,,,,,,,,
2013PN510114,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-04-29 15:55,WATER,DISCRETE SAMPLE,,135.309,,0,,2.336,,0,,110.629,,0,,0.101,,0.13,,5.952,,7.759,,127.717,,40,,NA,,NA,,111,,,,29.4,,1.5,,0.1,,,,9.04,,7.96,,,,1.18,,,,13.1,,,,3.26,,222,,3.16,,,,,,,,7.38,,,,,,,,,
2013PN510126,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-02 12:37,WATER,DISCRETE SAMPLE,,121.412,,0,,2.97,,0,,98.344,,0,,-0.151,,0.14,,6.374,,8.112,,114.866,,55,,NA,,NA,,99.6,,,,25.7,,1.46,,0.09,,,,8.3,,7.81,,,,1.36,,,,12.2,,,,3.13,,200,,2.6,,,,,,,,12.2,,,,,,,,,
2013PN510134,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-05 10:00,WATER,DISCRETE SAMPLE,,88.987,,0,,2.388,,1.911,,74.911,,0,,-0.439,,0.12,,6.477,,8.649,,86.255,,60,,NA,,NA,,73,,,,19.3,,1.32,,0.08,,,,6.49,,7.77,,,,1.39,,,,9.37,,,,2.44,,160,,1.87,,,,,,,,30.2,,,,,,,,,
2013PN510145,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-07 14:30,WATER,DISCRETE SAMPLE,,51.076,,0,,2.334,,3.547,,45.447,,0,,-1.096,,0.08,,5.698,,9.732,,51.741,,80,,NA,,NA,,41.9,,,,12.1,,0.62,,0.06,,,,3.7,,7.54,,,,1.37,,,,5.94,,,,1.31,,91.8,,1.35,,,,,,,,72.3,,,,,,,,,
2013PN510160,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-09 13:45,WATER,DISCRETE SAMPLE,,46.932,,0,,2.522,,4.172,,42.672,,0,,-1.224,,0.1,,7.037,,9.917,,49.24,,90,,NA,,NA,,38.5,,,,11.5,,0.61,,0.07,,,,3.39,,7.47,,,,1.26,,,,6.26,,,,1.54,,85.8,,1.43,,,,,,,,68.8,,,,,,,,,
2013PN510169,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-12 10:30,WATER,DISCRETE SAMPLE,,46.932,,0,,2.195,,5.742,,44.242,,0,,-1.156,,0.1,,6.964,,9.842,,49.885,,100,,NA,,NA,,38.5,,,,11.7,,0.61,,0.07,,,,3.65,,7.53,,,,1.11,,,,6.46,,,,1.57,,86.2,,1.54,,,,,,,,31.5,,,,,,,,,
2013PN510204,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-14 12:10,WATER,DISCRETE SAMPLE,,53.27,,0,,2.379,,5.059,,48.759,,0,,-1.045,,0.1,,6.693,,9.639,,54.668,,90,,NA,,NA,,43.7,,,,12.8,,0.58,,0.07,,,,4.08,,7.55,,,,1.03,,,,6.55,,,,1.65,,94.1,,1.63,,,,,,,,26.4,,,,,,,,,
2013PN510215,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-16 12:45,WATER,DISCRETE SAMPLE,,56.318,,0,,1.905,,7.74,,53.94,,0,,-0.861,,0.1,,6.494,,9.391,,58.019,,100,,NA,,NA,,46.2,,,,14.1,,0.55,,0.07,,,,4.55,,7.67,,,,0.96,,,,6.58,,,,1.76,,102,,1.68,,,,,,,,19.7,,,,,,,,,
2013PN510228,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-19 09:50,WATER,DISCRETE SAMPLE,,65.095,,0,,1.747,,6.926,,60.326,,0,,-0.652,,0.11,,6.301,,9.075,,64.734,,100,,NA,,NA,,53.4,,,,15.8,,0.58,,0.07,,,,5.07,,7.77,,,,0.92,,,,6.52,,,,1.9,,114,,1.79,,,,,,,,15.6,,,,,,,,,
2013PN510248,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-21 14:25,WATER,DISCRETE SAMPLE,,74.481,,0,,1.908,,2.17,,63.27,,0,,-0.555,,0.11,,6.587,,8.9,,70.894,,100,,NA,,NA,,61.1,,,,16.6,,0.57,,0.08,,,,5.3,,7.79,,,,0.98,,,,6.74,,,,2.09,,125,,1.83,,,,,,,,13.9,,,,,,,,,
2013PN510260,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-23 13:45,WATER,DISCRETE SAMPLE,,79.966,,0,,1.783,,9.091,,74.691,,0,,-0.381,,0.1,,5.607,,8.611,,78.193,,100,,NA,,NA,,65.6,,,,20.3,,0.62,,0.08,,,,5.83,,7.85,,,,0.91,,,,7.09,,,,2.07,,137,,1.88,,,,,,,,12.7,,,,,,,,,
2013PN510276,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-26 11:10,WATER,DISCRETE SAMPLE,,90.816,,0,,1.681,,5.241,,79.741,,0,,-0.228,,0.12,,5.992,,8.385,,86.058,,100,,NA,,NA,,74.5,,,,21.3,,0.7,,0.08,,,,6.45,,7.93,,,,0.94,,,,7.49,,,,2.37,,151,,1.97,,,,,,,,10.6,,,,,,,,,
2013PN510298,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-05-29 15:20,WATER,DISCRETE SAMPLE,,98.861,,0,,1.788,,0,,80.408,,0,,-0.177,,0.11,,5.906,,8.293,,90.094,,125,,NA,,NA,,81.1,,,,21.6,,0.78,,0.08,,,,6.43,,7.94,,,,0.86,,,,7.36,,,,2.35,,164,,1.93,,,,,,,,7.13,,,,,,,,,
2013PN510310,OIL SANDS COMPONENT STUDIES,FI WSC- Oil Sands - WQ Event Station Firebag River at Water Survey Canada Gauge,FI WSC,57.39.02.700,111.12.06.898,57.97953,-111.29865,2013-06-02 12:55,WATER,DISCRETE SAMPLE,,107.76,,0,,1.995,,4.702,,93.102,,0,,-0.086,,0.12,,5.77,,8.102,,100.598,,80,,NA,,NA,,88.4,,,,25.2,,0.95,,0.09,,,,7.33,,7.93,,,,0.87,,,,8.25,,,,2.65,,175,,2.16,,,,,,,,5.96,,,,,,,,,
