*Co-investigator,Alexa Alexander-Trusiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Co-investigator Affiliation,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Watershed Hydrology and Ecology Research Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information,patricia.chambers@canada.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s),Minzhen Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada,http://open.canada.ca/en/open-government-licence-canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attribution,"Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acknowledgement,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site Names - in some instances sites were relocated a short distance upstream or downstream through the study period to accommodate changes such as helicopter landing locations, changes in water level, etc., Where these site changes did not impact the JOSM reach criteria a letter was added to the primary site name and new coodinates provided. For the purposes of analyses, these sub-sites are considered to be respresentative of the primary site reach and can be combined.  The list of primary sites and sub-sites is provided below. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Site Name,Sub Site Name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLS RIFF 5,ELLS RIFF 5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLS RIFF 5,ELLS RIFF 5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1,MA1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1,MA1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1,MA1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1,MA1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU1,MU1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU1,MU1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI1,FI1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI1,FI1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection Limit – in each “Flag” column a cell with an “L” or “R” indicates that the numerical result in the data column immediately to the right ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Sample Number,Project Name,Site Name,Location,Location Latitude,Location Longitude,Location Latitude,Location Longitude,Sample Date,Matrix,Sample Type,Flag,ALUMINUM TOTAL,Flag,ANTIMONY TOTAL,Flag,ARSENIC TOTAL,Flag,BARIUM TOTAL,Flag,BERYLLIUM TOTAL,Flag,BISMUTH TOTAL,Flag,BORON TOTAL,Flag,CADMIUM TOTAL,Flag,CERIUM TOTAL,Flag,CESIUM TOTAL,Flag,CHROMIUM TOTAL,Flag,COBALT TOTAL,Flag,COPPER TOTAL,Flag,GALLIUM TOTAL,Flag,GERMANIUM TOTAL,Flag,INDIUM TOTAL,Flag,IRON TOTAL,Flag,LANTHANUM TOTAL,Flag,LEAD TOTAL,Flag,LITHIUM TOTAL,Flag,MANGANESE TOTAL,Flag,MOLYBDENUM TOTAL,Flag,NICKEL TOTAL,Flag,NIOBIUM TOTAL,Flag,PALLADIUM TOTAL,Flag,PLATINUM TOTAL,Flag,RUBIDIUM TOTAL,Flag,SCANDIUM TOTAL,Flag,SELENIUM TOTAL,Flag,SILVER TOTAL,Flag,STRONTIUM TOTAL,Flag,TELLURIUM TOTAL,Flag,THALLIUM TOTAL,Flag,TIN TOTAL,Flag,TITANIUM TOTAL,Flag,TUNGSTEN TOTAL,Flag,URANIUM TOTAL,Flag,VANADIUM TOTAL,Flag,YTTRIUM TOTAL,Flag,ZINC TOTAL,Flag,ZIRCONIUM TOTAL,
,,,,"(Degrees, Minutes, Seconds)","(Degrees, Minutes, Seconds)",(Decimal Degrees),(Decimal Degrees),(yyyy-mm-dd hh:mm:ss),,,,108665-L,,108697-L,,108666-L,,108668-L,,108669-L,,108670-L,,108667-L,,108672-L,,108673-L,,108676-L,,108675-L,,108674-L,,108677-L,,108679-L,,108681-L,,108682-L,,108678-L,,108684-L,,108692-L,,108685-L,,108687-L,,108688-L,,108691-L,,108690-L,,108693-L,,108694-L,,108695-L,,108698-L,,108699-L,,108664-L,,108701-L,,108702-L,,108704-L,,108700-L,,108703-L,,108707-L,,108705-L,,108706-L,,108708-L,,108709-L,,108710-L,
,,,,,,,,,,,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,,UG/L,
2012PN510008,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-04 13:08,WATER,DISCRETE SAMPLE,,187,,0.067,,0.76,,47.6,,0.017,,0.004,,83.2,,0.014,,0.623,,0.05,,0.65,,0.367,,0.99,L,0.001,,0.02,,0.001,,846,,0.278,,0.27,,20.2,,59.9,,0.653,,1.81,,0.011,L,0.005,,0.001,,1.67,,0.07,,0.1,,0.004,,172,L,0.01,,0.007,,0.01,,3.6,,0.02,,0.26,,0.862,,0.28,,2.7,,0.5,
2012PN510035,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-15 10:05,WATER,DISCRETE SAMPLE,,101,,0.05,,0.82,,40.2,,0.012,,0.002,,73,,0.008,,0.409,,0.026,,0.2,,0.305,,0.71,L,0.001,,0.01,L,0.001,,1300,,0.185,,0.204,,19.3,,57.4,,0.609,,1.56,,0.008,L,0.005,L,0.001,,1.55,,0.03,,0.11,,0.003,,171,L,0.01,,0.005,,0.007,,1.7,,0.008,,0.302,,0.54,,0.221,,2.4,,0.4,
2012PN510059,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-16 13:20,WATER,DISCRETE SAMPLE,,102,,0.05,,0.82,,38.8,,0.011,,0.002,,78.1,,0.014,,0.373,,0.024,,0.42,,0.282,,0.85,L,0.001,,0.01,L,0.001,,1200,,0.168,,0.072,,19.9,,59.4,,0.685,,2.26,,0.007,L,0.005,L,0.001,,1.52,,0.04,,0.1,,0.004,,171,,0.01,,0.005,,0.042,,2,,0.005,,0.419,,0.563,,0.204,,20.3,,0.4,
2012PN510062,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-18 09:30,WATER,DISCRETE SAMPLE,,68.9,,0.054,,0.78,,39.6,,0.011,,0.002,,125,,0.007,,0.302,,0.018,,0.13,,0.271,,0.71,L,0.001,,0.01,L,0.001,,1140,,0.14,,0.029,,25.6,,58.2,,0.767,,1.56,,0.008,L,0.005,L,0.001,,1.52,,0.03,,0.11,,0.002,,183,L,0.01,,0.005,L,0.005,,1.4,,0.004,,0.516,,0.427,,0.182,,0.9,,0.4,
2012PN510078,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-19 12:20,WATER,DISCRETE SAMPLE,,58.1,,0.044,,0.73,,38.8,,0.015,,0.001,,92.2,,0.006,,0.288,,0.016,,0.13,,0.226,,0.9,L,0.001,,0.01,L,0.001,,1140,,0.135,,0.054,,22.8,,46.4,,0.653,,1.45,,0.008,L,0.005,,0.001,,1.43,,0.04,,0.1,,0.002,,179,,0.01,,0.005,,0.015,,1.3,,0.004,,0.379,,0.421,,0.17,,0.8,,0.3,
2012PN510101,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-20 14:00,WATER,DISCRETE SAMPLE,,65.2,,0.052,,0.79,,35.1,,0.011,,0.001,,86.7,,0.007,,0.318,,0.018,,0.15,,0.231,,0.42,L,0.001,L,0.01,L,0.001,,1160,,0.147,,0.289,,20.4,,46.5,,0.611,,1.34,,0.006,L,0.005,L,0.001,,1.32,,0.04,,0.08,,0.002,,175,L,0.01,,0.005,,0.068,,1.2,,0.003,,0.325,,0.365,,0.173,,1.1,,0.3,
2012PN510097,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-22 09:50,WATER,TRIPLICATE SAMPLE - rep1,,114,,0.052,,0.84,,33.5,,0.017,,0.003,,76.1,,0.009,,0.653,,0.038,,0.21,,0.328,,0.33,L,0.001,L,0.01,L,0.001,,1280,,0.281,,0.535,,18,,57.2,,0.543,,1.37,,0.008,L,0.005,L,0.001,,1.41,,0.06,,0.07,,0.004,,153,L,0.01,,0.006,,0.071,,2.2,,0.005,,0.286,,0.642,,0.282,,2.7,,0.4,
2012PN510098,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-22 09:55,WATER,TRIPLICATE SAMPLE - rep2,,237,,0.058,,0.91,,35.6,,0.025,,0.005,,76.5,,0.013,,0.881,,0.067,,0.41,,0.403,,0.63,L,0.001,L,0.01,L,0.001,,1510,,0.393,,0.604,,18.5,,61,,0.575,,1.83,,0.013,L,0.005,,0.001,,1.74,,0.07,,0.09,,0.005,,152,L,0.01,,0.008,,0.136,,3.5,,0.007,,0.292,,0.896,,0.357,,3.9,,0.6,
2012PN510099,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-22 10:00,WATER,TRIPLICATE SAMPLE - rep3,,137,,0.029,,0.5,,18,,0.013,,0.003,,37.8,,0.008,,0.511,,0.039,,0.3,,0.219,,0.28,L,0.001,L,0.01,L,0.001,,796,,0.227,,0.322,,9.02,,30.1,,0.273,,0.83,,0.007,L,0.005,L,0.001,,0.931,,0.04,,0.05,,0.003,,75.7,L,0.01,,0.005,,0.061,,2.2,,0.003,,0.148,,0.579,,0.212,,2,,0.3,
2012PN510115,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-23 12:00,WATER,DISCRETE SAMPLE,,201,,0.063,,0.85,,33.7,,0.023,,0.005,,65.9,,0.012,,0.833,,0.063,,0.37,,0.367,,0.74,L,0.001,,0.01,,0.001,,1390,,0.365,,0.543,,16,,61.2,,0.5,,1.37,,0.011,L,0.005,L,0.001,,1.6,,0.05,,0.07,,0.006,,136,L,0.01,,0.007,,0.23,,3.5,,0.004,,0.241,,0.798,,0.323,,2.8,,0.5,
2012PN510132,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-25 13:45,WATER,DISCRETE SAMPLE,,174,,0.064,,0.91,,35.2,,0.022,,0.004,,68.4,,0.014,,0.962,,0.051,,0.31,,0.348,,0.8,L,0.001,L,0.01,L,0.001,,1410,,0.418,,0.486,,16.6,,48.3,,0.525,,1.58,,0.007,L,0.005,L,0.001,,1.6,,0.05,,0.08,,0.007,,136,L,0.01,,0.006,,0.226,,3.3,,0.002,,0.288,,0.774,,0.457,,3.4,,0.5,
2012PN510136,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-26 09:15,WATER,DISCRETE SAMPLE,,470,,0.082,,1.49,,40,,0.044,,0.011,,66.1,,0.027,,1.99,,0.142,,0.78,,0.781,,1.09,L,0.001,,0.01,,0.001,,2660,,0.854,,0.853,,18.7,,131,,0.729,,2.47,,0.02,L,0.005,L,0.001,,2.52,,0.15,,0.1,,0.021,,148,L,0.01,,0.016,,0.449,,7.6,,0.006,,0.459,,1.92,,0.826,,5.1,,0.8,
2012PN510151,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-28 11:20,WATER,DISCRETE SAMPLE,,510,,0.078,,1.47,,45.5,,0.052,,0.011,,55.1,,0.027,,2.19,,0.141,,0.82,,0.79,,1.21,,0.014,,0.01,,0.002,,2520,,0.944,,0.92,,15.9,,121,,0.733,,2.58,,0.024,L,0.005,L,0.001,,2.68,,0.15,,0.11,,0.01,,131,L,0.01,,0.016,,0.087,,7.3,,0.004,,0.412,,2.16,,0.92,,5.6,,0.8,
2012PN510162,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-04-29 12:15,WATER,DISCRETE SAMPLE,,1470,,0.097,,2.3,,56.6,,0.104,,0.027,,51.8,,0.04,,4.09,,0.36,,2.29,,1.44,,2.66,,0.491,,0.05,,0.003,,4590,,1.81,,1.76,,16.5,,191,,0.736,,3.57,,0.055,L,0.005,,0.001,,5.03,,0.52,,0.17,,0.019,,121,L,0.01,,0.032,,0.082,,21.5,,0.024,,0.419,,5.09,,1.58,,7.9,,1.5,
2012PN510165,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-01 10:15,WATER,DISCRETE SAMPLE,,1280,,0.127,,2.24,,53.1,,0.09,,0.029,,49.9,,0.044,,3.35,,0.317,,1.91,,1.14,,2.83,,0.383,,0.03,L,0.001,,4080,,1.51,,1.72,,15.8,,144,,0.827,,3.33,,0.047,L,0.005,L,0.001,,4.9,,0.38,,0.16,,0.022,,117,L,0.01,,0.033,,0.094,,19.7,,0.018,,0.371,,4.57,,1.37,,6.9,,1.3,
2012PN510180,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-02 13:05,WATER,DISCRETE SAMPLE,,1790,,0.151,,3.32,,69.7,,0.149,,0.033,,57.8,,0.062,,6.58,,0.452,,2.88,,2.15,,4.4,,0.561,,0.09,,0.005,,6370,,2.83,,2.64,,15.9,,229,,0.87,,5.46,,0.07,L,0.005,,0.001,,6.15,,0.58,,0.2,L,0.001,,122,,0.02,,0.05,,0.125,,27.9,,0.045,,0.451,,6.69,,2.6,,14.5,,1.8,
2012PN510194,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-03 13:44,WATER,DISCRETE SAMPLE,,1020,,0.095,,2.32,,51.9,,0.084,,0.021,,56,,0.039,,3.85,,0.27,,1.61,,1.24,,2.68,,0.27,,0.04,,0.003,,4190,,1.65,,1.54,,14,,160,,0.753,,3.67,,0.039,L,0.005,,0.001,,4.12,,0.36,,0.13,L,0.001,,114,,0.01,,0.029,,0.081,,14.8,,0.007,,0.347,,3.83,,1.61,,8.5,,1.3,
2012PN510197,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-04 09:35,WATER,DISCRETE SAMPLE,,1150,,0.109,,2.44,,53.2,,0.091,,0.022,,55.3,,0.037,,4.12,,0.3,,12.3,,1.31,,2.91,,0.31,,0.05,,0.003,,4550,,1.8,,1.52,,14.3,,156,,1.65,,4.33,,0.047,L,0.005,,0.002,,4.5,,0.38,,0.16,L,0.001,,115,,0.01,,0.029,,0.092,,17,,0.025,,0.348,,4.41,,1.64,,9.3,,1.5,
2012PN510209,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-06 12:50,WATER,DISCRETE SAMPLE,,596,,0.089,,1.71,,41.9,,0.053,,0.014,,55.5,,0.026,,2.23,,0.16,,1,,0.727,,3.41,,0.086,,0.03,,0.002,,2780,,0.973,,0.959,,13.7,,85.2,,0.759,,2.73,,0.024,L,0.005,,0.001,,2.94,,0.18,,0.14,L,0.001,,112,L,0.01,,0.019,,0.042,,8.7,,0.003,,0.292,,2.39,,0.998,,8.4,,0.9,
2012PN510224,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-08 13:42,WATER,DISCRETE SAMPLE,,407,,0.078,,1.41,,35.7,,0.039,,0.008,,53.8,,0.02,,1.44,,0.112,,0.71,,0.467,,1.43,,0.066,,0.03,,0.001,,2020,,0.641,,0.626,,13.7,,52,,0.743,,2.25,,0.019,L,0.005,,0.002,,2.35,,0.14,,0.1,L,0.001,,109,L,0.01,,0.015,,0.031,,6.5,,0.005,,0.257,,1.69,,0.671,,5,,0.7,
2012PN510227,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-10 10:12,WATER,DISCRETE SAMPLE,,37,,0.075,,0.92,,31.4,,0.015,,0.002,,59.4,,0.015,,0.459,,0.011,,0.09,,0.139,,1.02,L,0.001,,0.01,L,0.001,,818,,0.211,,0.255,,14.5,,11.8,,0.794,,1.92,,0.003,L,0.005,,0.003,,1.34,,0.02,,0.1,L,0.001,,120,L,0.01,,0.006,,0.012,,0.7,,0.003,,0.277,,0.45,,0.367,,4.8,,0.3,
2012PN510241,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-12 11:14,WATER,DISCRETE SAMPLE,,622,,0.097,,1.72,,42.5,,0.057,,0.013,,61.5,,0.025,,2.24,,0.165,,1.09,,0.763,,1.8,,0.042,,0.02,,0.002,,2550,,0.992,,0.911,,16.2,,76.6,,0.921,,2.93,,0.031,L,0.005,L,0.001,,2.81,,0.22,,0.13,,0.01,,130,L,0.01,,0.018,,0.042,,9.7,,0.004,,0.319,,2.57,,0.984,,5.6,,0.9,
2012PN510253,OIL SANDS COMPONENT STUDIES,EL1- Oil Sands - WQ Event Station Ells River at Mouth sables bitumineux,EL1,57.18.17.552,111.40.35.108,57.30488,-111.67642,2012-05-16 13:41,WATER,DISCRETE SAMPLE,,166,,0.086,,1.14,,33.6,,0.019,,0.006,,58.2,,0.015,,0.818,,0.054,,0.39,,0.292,,1.09,,0.084,,0.01,,0.001,,1120,,0.361,,0.332,,14.5,,41.4,,0.855,,1.83,,0.008,L,0.005,,0.001,,1.61,,0.03,,0.13,,0.006,,119,L,0.01,,0.009,,0.016,,2.9,,0.004,,0.258,,0.812,,0.393,,2.9,,0.4,
