Name,Method short name,Parameter short name
Biological - Hydrocarbons,2592,146_00_00_02_02
Biological - Hydrocarbons,2592,303_00_00_02_02
Biological - Hydrocarbons,2875,91_00_00_02_02
Biological - Hydrocarbons,2592,140_00_00_02_02
Biological - Hydrocarbons,2353,910_00_00_02_01
Biological - Hydrocarbons,2875,215_00_00_02_02
Biological - Hydrocarbons,2592,312_00_00_02_02
Biological - Hydrocarbons,2875,237_00_00_02_02
Biological - Hydrocarbons,2592,299_00_00_02_02
Biological - Hydrocarbons,2592,1272_00_00_02_02
Biological - Hydrocarbons,2677,1041_00_00_02_02
Biological - Hydrocarbons,2875,1041_00_00_02_02
Biological - Hydrocarbons,2875,95_00_00_02_02
Biological - Hydrocarbons,2593,181_00_00_02_02
Biological - Hydrocarbons,2875,181_00_00_02_02
Biological - Hydrocarbons,2592,93_00_00_02_02
Biological - Hydrocarbons,2875,64_00_00_02_02
Biological - Hydrocarbons,2875,72_00_00_02_02
Biological - Hydrocarbons,2875,304_00_00_02_02
Biological - Major Ions,924,567_00_00_02_02
Biological - Major Ions,924,408_00_00_02_02
Biological - Major Ions,924,585_00_00_02_02
Biological - Metal,1916,3336_00_00_02_02
Biological - Metal,1916,1002_00_00_02_02
Biological - Metal,1916,1012_00_00_02_02
Biological - Metal,1916,1005_00_00_02_02
Biological - Metal,1916,1010_00_00_02_02
Biological - Metal,1916,858_00_00_02_02
Biological - Metal,1916,1999_00_00_02_02
Biological - Metal,1916,1004_00_00_02_02
Biological - Metal,1916,2764_00_00_02_02
Biological - Metal,1916,4456_00_00_02_02
Biological - Metal,1916,3348_00_00_02_02
Biological - Metal,1916,3492_00_00_02_02
Biological - Metal,1916,1003_00_00_02_02
Biological - Metal,1916,1007_00_00_02_02
Biological - Metal,1916,401_00_00_02_02
Biological - Metal,1916,3335_00_00_02_02
Biological - Metal,1916,1998_00_00_02_02
Biological - Metal,1916,1009_00_00_02_02
Biological - Metal,1916,1013_00_00_02_02
Biological - Metal,1916,3334_00_00_02_02
Biological - Metal,1916,2000_00_00_02_02
Biological - Metal,1916,1015_00_00_02_02
Biological - Metal,1916,1997_00_00_02_02
Biological - Metal,1916,1996_00_00_02_02
Biological - Metal,1916,1014_00_00_02_02
Biological - Metal,1916,1008_00_00_02_02
Biological - Metal,1916,1049_00_00_02_02
Biological - Metal,1916,2725_00_00_02_02
Biological - Metal,1916,3135_00_00_02_02
Biological - Metal,1916,350_00_00_02_02
Biological - Metal,1916,373_00_00_02_02
Biological - Metal,1916,379_00_00_02_02
Biological - Metal,4016,379_00_00_02_02
Biological - Metal,1916,388_00_00_02_02
Biological - Metal,1916,393_00_00_02_02
Biological - Metal,1916,412_00_00_02_02
Biological - Metal,2636,412_00_00_02_02
Biological - Metal,4016,412_00_00_02_02
Biological - Metal,2830,456_00_00_02_02
Biological - Metal,4016,456_00_00_02_02
Biological - Metal,1916,463_00_00_02_02
Biological - Metal,1916,470_00_00_02_02
Biological - Metal,4016,470_00_00_02_02
Biological - Metal,1916,519_00_00_02_02
Biological - Metal,1611,549_00_00_02_02
Biological - Metal,1886,549_00_00_02_02
Biological - Metal,1887,549_00_00_02_02
Biological - Metal,2642,549_00_00_02_02
Biological - Metal,1916,576_00_00_02_02
Biological - Metal,1916,591_00_00_02_02
Biological - Metal,4016,591_00_00_02_02
Biological - Metal,1916,595_00_00_02_02
Biological - Metal,2636,595_00_00_02_02
Biological - Metal,1916,610_00_00_02_02
Biological - Metal,2636,610_00_00_02_02
Biological - Metal,4016,610_00_00_02_02
Biological - Metal,1916,683_00_00_02_02
Biological - Metal,2636,683_00_00_02_02
Biological - Metal,4016,683_00_00_02_02
Biological - Metal,1916,766_00_00_02_02
Biological - Metal,1916,782_00_00_02_02
Biological - Metal,4016,782_00_00_02_02
Biological - Metal,1916,812_00_00_02_02
Biological - Metal,1916,823_00_00_02_02
Biological - Metal,1916,861_00_00_02_02
Biological - Metal,1916,878_00_00_02_02
Biological - Metal,1916,890_00_00_02_02
Biological - Metal,4016,890_00_00_02_02
Biological - Metal,1916,1006_00_00_02_02
Biological - Nonmetals,1916,2737_00_00_02_02
Biological - Nutrients,924,730_00_00_02_02
Biological - Pesticides,2818,187_00_00_02_02
Biological - Pesticides,2818,261_00_00_02_02
Biological - Pesticides,2818,260_00_00_02_02
Biological - Pesticides,2818,207_00_00_02_02
Biological - Pesticides,2818,165_00_00_02_02
Biological - Pesticides,2818,84_00_00_02_02
Biological - Pesticides,2818,335_00_00_02_02
Biological - Pesticides,2818,206_00_00_02_02
Biological - Pesticides,2818,259_00_00_02_02
Biological - Pesticides,2818,235_00_00_02_02
Biological - Pesticides,2832,2881_00_00_02_02
Biological - Pesticides,2818,2679_00_00_02_02
Biological - Pesticides,2818,1047_00_00_02_02
Biological - Pesticides,2818,1042_00_00_02_02
Biological - Pesticides,2818,177_00_00_02_02
Biological - Pesticides,2818,258_00_00_02_02
Biological - Pesticides,2818,287_00_00_02_02
Biological - Pesticides,2818,60_00_00_02_02
Biological - Pesticides,2818,1044_00_00_02_02
Biological - Pesticides,2818,200_00_00_02_02
Biological - Pesticides,2818,281_00_00_02_02
Biological - Pesticides,2818,2852_00_00_02_02
Biological - Pesticides,2593,177_00_00_02_02
Biological - Pesticides,2875,177_00_00_02_02
Biological - Pesticides,2593,187_00_00_02_02
Biological - Pesticides,2875,187_00_00_02_02
Biological - Pesticides,2593,235_00_00_02_02
Biological - Pesticides,2875,235_00_00_02_02
Biological - Pesticides,2593,258_00_00_02_02
Biological - Pesticides,2875,258_00_00_02_02
Biological - Pesticides,2875,281_00_00_02_02
Biological - Pesticides,2593,60_00_00_02_02
Biological - Pesticides,2875,60_00_00_02_02
Biological - Pesticides,2593,165_00_00_02_02
Biological - Pesticides,2875,165_00_00_02_02
Biological - Pesticides,668,165_00_00_02_02
Biological - Pesticides,2593,192_00_00_02_02
Biological - Pesticides,2593,206_00_00_02_02
Biological - Pesticides,2875,206_00_00_02_02
Biological - Pesticides,2593,207_00_00_02_02
Biological - Pesticides,2875,207_00_00_02_02
Biological - Pesticides,2593,260_00_00_02_02
Biological - Pesticides,2875,260_00_00_02_02
Biological - Pesticides,2875,2679_00_00_02_01
Biological - Pesticides,2593,335_00_00_02_02
Biological - Pesticides,2875,335_00_00_02_02
Biological - Pesticides,2593,227_00_00_02_02
Biological - Pesticides,2875,227_00_00_02_02
Biological - Pesticides,2593,211_00_00_02_02
Biological - Pesticides,2593,287_00_00_02_02
Biological - Pesticides,2875,287_00_00_02_02
Biological - Pesticides,2593,261_00_00_02_02
Biological - Pesticides,2875,261_00_00_02_02
Biological - Pesticides,2593,200_00_00_02_02
Biological - Pesticides,2875,200_00_00_02_02
Biological - Pesticides,2593,259_00_00_02_02
Biological - Pesticides,2875,259_00_00_02_02
Biological - Physical,2873,3045_00_00_02_01
Biological - Surrogate,4393,1521_00_00_02_01
Biological - Surrogate,2818,2853_00_00_02_01
Biological - Surrogate,4393,1520_00_00_02_01
Biological - Surrogate,2818,2854_00_00_02_01
Biological - Surrogate,4393,4580_00_00_02_01
Biological - Surrogate,2818,2858_00_00_02_01
Biological - Surrogate,2818,2859_00_00_02_01
Biological - Surrogate,4302,2090_00_00_02_01
Biological - Surrogate,2818,2855_00_00_02_01
Biological - Surrogate,4302,2093_00_00_02_01
Biological - Surrogate,2818,2857_00_00_02_01
Biological - Surrogate,4302,3907_00_00_02_01
Biological - Surrogate,4302,3906_00_00_02_01
Biological - Surrogate,4302,3912_00_00_02_01
Biological - Surrogate,4393,1524_00_00_02_01
Biological - Surrogate,4302,3911_00_00_02_01
Biological - Surrogate,4302,2091_00_00_02_01
Biological - Surrogate,4393,1525_00_00_02_01
Biological - Surrogate,4393,1517_00_00_02_01
Biological - Surrogate,4393,1518_00_00_02_01
Biological - Surrogate,2818,1043_00_00_02_02
Biological - Surrogate,4393,4581_00_00_02_01
Biological - Surrogate,4393,2106_00_00_02_01
Biological - Surrogate,2875,243_00_00_02_01
Biological - Surrogate,2875,247_00_00_02_01
Biological - Surrogate,2875,643_00_00_02_01
Biological - Surrogate,2875,68_00_00_02_01
Sediment - Anti-Parasitic Drug,4336,3658_00_00_01_02
Sediment - Antineoplastic agent,464,4720_00_00_01_02
Sediment - Antineoplastic agent,464,4718_00_00_01_02
Sediment - Biological,464,4499_00_00_01_02
Sediment - Carbamate,4336,121_00_00_01_02
Sediment - Carbamate,4336,164_00_00_01_02
Sediment - Carbamate,4336,87_00_00_01_02
Sediment - Carbon,4266,485_00_00_01_01
Sediment - Carbon,4266,487_00_00_01_01
Sediment - Carbon,4264,485_00_00_01_01
Sediment - Carbon,4264,492_00_00_01_01
Sediment - Carbon,2597,485_00_00_01_01
Sediment - Carbon,110,487_00_00_01_02
Sediment - Carbon,4386,487_00_00_01_51
Sediment - Carbon,690,490_00_00_01_01
Sediment - Carbon,110,492_00_00_01_02
Sediment - Chlorinated paraffins,4256,4860_00_00_01_02
Sediment - Chlorinated paraffins,740,4860_00_01_01_44
Sediment - Chlorinated paraffins,4256,4861_00_00_01_02
Sediment - Chlorinated paraffins,740,4861_00_01_01_52
Sediment - Chlorinated paraffins,4256,4862_00_00_01_02
Sediment - Chlorinated paraffins,740,4862_00_01_01_44
Sediment - Chlorinated paraffins,4256,4863_00_00_01_02
Sediment - Chlorinated paraffins,740,4863_00_01_01_44
Sediment - Chlorinated paraffins,4256,4961_00_00_01_02
Sediment - Chlorinated paraffins,4256,4962_00_00_01_02
Sediment - Chlorinated paraffins,4256,4963_00_00_01_02
Sediment - Chlorinated paraffins,4256,4964_00_00_01_02
Sediment - Chlorinated paraffins,4256,4965_00_00_01_02
Sediment - Chlorinated paraffins,4256,4966_00_00_01_02
Sediment - Chlorinated paraffins,4256,4967_00_00_01_02
Sediment - Chlorinated paraffins,4256,4968_00_00_01_02
Sediment - Chlorinated paraffins,4256,4969_00_00_01_02
Sediment - Chlorinated paraffins,4256,4970_00_00_01_02
Sediment - Chlorinated paraffins,4256,4971_00_00_01_02
Sediment - Chlorinated paraffins,4256,4972_00_00_01_02
Sediment - Chlorinated paraffins,4256,4973_00_00_01_02
Sediment - Chlorinated paraffins,4256,4974_00_00_01_02
Sediment - Chlorinated paraffins,4256,4975_00_00_01_02
Sediment - Chlorinated paraffins,4256,4976_00_00_01_02
Sediment - Chlorinated paraffins,4256,4977_00_00_01_02
Sediment - Chlorinated paraffins,4256,4978_00_00_01_02
Sediment - Chlorinated paraffins,4256,4979_00_00_01_02
Sediment - Chlorinated paraffins,4256,4980_00_00_01_02
Sediment - Chlorinated paraffins,4256,4981_00_00_01_02
Sediment - Chlorinated paraffins,4256,4982_00_00_01_02
Sediment - Chlorinated paraffins,4256,4983_00_00_01_02
Sediment - Chlorinated paraffins,4256,4984_00_00_01_02
Sediment - Chlorinated paraffins,4256,4985_00_00_01_02
Sediment - Chlorinated paraffins,4256,4986_00_00_01_02
Sediment - Chlorinated paraffins,4256,4987_00_00_01_02
Sediment - Chlorinated paraffins,4256,4988_00_00_01_02
Sediment - Chlorinated paraffins,4256,4989_00_00_01_02
Sediment - Chlorinated paraffins,4256,4990_00_00_01_02
Sediment - Chlorinated paraffins,4256,4991_00_00_01_02
Sediment - Chlorinated paraffins,4256,4992_00_00_01_02
Sediment - Chlorinated paraffins,4256,4993_00_00_01_02
Sediment - Chlorinated paraffins,4256,4994_00_00_01_02
Sediment - Chlorinated paraffins,4256,4995_00_00_01_02
Sediment - Chlorinated paraffins,4256,4996_00_00_01_02
Sediment - Chlorinated paraffins,4256,4997_00_00_01_02
Sediment - Chlorinated paraffins,4256,4998_00_00_01_02
Sediment - Chlorinated paraffins,4256,4999_00_00_01_02
Sediment - Chlorinated paraffins,4256,5000_00_00_01_02
Sediment - Chlorinated paraffins,4256,5001_00_00_01_02
Sediment - Chlorinated paraffins,4256,5002_00_00_01_02
Sediment - Chlorinated paraffins,4256,5003_00_00_01_02
Sediment - Chlorinated paraffins,4256,5004_00_00_01_02
Sediment - Chlorinated paraffins,4256,5005_00_00_01_02
Sediment - Chlorinated paraffins,4256,5006_00_00_01_02
Sediment - Chlorinated paraffins,4256,5007_00_00_01_02
Sediment - Chlorinated paraffins,4256,5008_00_00_01_02
Sediment - Chlorinated paraffins,4256,5009_00_00_01_02
Sediment - Chlorinated paraffins,4256,5010_00_00_01_02
Sediment - Chlorinated paraffins,4256,5011_00_00_01_02
Sediment - Chlorinated paraffins,4256,5012_00_00_01_02
Sediment - Chlorinated paraffins,4256,5013_00_00_01_02
Sediment - Chlorinated paraffins,4256,5014_00_00_01_02
Sediment - Chlorinated paraffins,4256,5015_00_00_01_02
Sediment - Chlorinated paraffins,4256,5016_00_00_01_02
Sediment - Chlorinated paraffins,4256,5017_00_00_01_02
Sediment - Chlorinated paraffins,4256,5018_00_00_01_02
Sediment - Chlorinated paraffins,4256,5019_00_00_01_02
Sediment - Chlorinated paraffins,4256,5020_00_00_01_02
Sediment - Chlorinated paraffins,4256,5021_00_00_01_02
Sediment - Chlorinated paraffins,4256,5022_00_00_01_02
Sediment - Chlorinated paraffins,4256,5023_00_00_01_02
Sediment - Chlorinated paraffins,4256,5024_00_00_01_02
Sediment - Chlorinated paraffins,4256,5025_00_00_01_02
Sediment - Chlorinated paraffins,4256,5026_00_00_01_02
Sediment - Chlorinated paraffins,4256,5027_00_00_01_02
Sediment - Chlorinated paraffins,4256,5028_00_00_01_02
Sediment - Chlorinated paraffins,4256,5029_00_00_01_02
Sediment - Chlorinated paraffins,4256,5030_00_00_01_02
Sediment - Chlorinated paraffins,4256,5031_00_00_01_02
Sediment - Chlorinated paraffins,4256,5032_00_00_01_02
Sediment - Chlorinated paraffins,4256,5033_00_00_01_02
Sediment - Chlorinated paraffins,4256,5034_00_00_01_02
Sediment - Chlorinated paraffins,4256,5035_00_00_01_02
Sediment - Chlorinated paraffins,4256,5036_00_00_01_02
Sediment - Chlorinated paraffins,4256,5037_00_00_01_02
Sediment - Descriptive,192,5477_00_00_01_01
Sediment - Descriptive,192,5585_00_00_01_01
Sediment - Descriptive,192,5520_00_00_01_01
Sediment - Descriptive,192,5522_00_00_01_01
Sediment - Descriptive,192,5545_00_00_01_01
Sediment - Descriptive,192,5555_00_00_01_01
Sediment - Descriptive,192,5556_00_00_01_01
Sediment - Descriptive,192,5481_00_00_01_01
Sediment - Descriptive,192,5532_00_00_01_01
Sediment - Descriptive,192,5553_00_00_01_01
Sediment - Descriptive,192,5591_00_00_01_01
Sediment - Descriptive,689,5423_00_00_01_01
Sediment - Descriptive,192,5510_00_00_01_01
Sediment - Descriptive,192,5536_00_00_01_01
Sediment - Descriptive,192,5541_00_00_01_01
Sediment - Descriptive,192,5578_00_00_01_01
Sediment - Descriptive,689,5427_00_00_01_01
Sediment - Descriptive,192,5491_00_00_01_01
Sediment - Descriptive,192,5495_00_00_01_01
Sediment - Descriptive,4405,4082_00_00_01_02
Sediment - Descriptive,192,5490_00_00_01_01
Sediment - Descriptive,192,5521_00_00_01_01
Sediment - Descriptive,192,5534_00_00_01_01
Sediment - Descriptive,192,5539_00_00_01_01
Sediment - Descriptive,192,5543_00_00_01_01
Sediment - Descriptive,192,5547_00_00_01_01
Sediment - Descriptive,192,5577_00_00_01_01
Sediment - Descriptive,192,5586_00_00_01_01
Sediment - Descriptive,192,5501_00_00_01_01
Sediment - Descriptive,192,5503_00_00_01_01
Sediment - Descriptive,4406,4083_00_00_01_02
Sediment - Descriptive,192,5563_00_00_01_01
Sediment - Descriptive,192,5593_00_00_01_01
Sediment - Descriptive,192,5598_00_00_01_01
Sediment - Descriptive,192,5486_00_00_01_01
Sediment - Descriptive,192,5587_00_00_01_01
Sediment - Descriptive,192,5538_00_00_01_01
Sediment - Descriptive,192,5483_00_00_01_01
Sediment - Descriptive,192,5548_00_00_01_01
Sediment - Descriptive,192,5488_00_00_01_01
Sediment - Descriptive,192,5592_00_00_01_01
Sediment - Descriptive,192,5529_00_00_01_01
Sediment - Descriptive,192,5533_00_00_01_01
Sediment - Descriptive,192,5568_00_00_01_01
Sediment - Descriptive,4406,4081_00_00_01_02
Sediment - Descriptive,192,5523_00_00_01_01
Sediment - Descriptive,192,5531_00_00_01_01
Sediment - Descriptive,192,5581_00_00_01_01
Sediment - Descriptive,192,5560_00_00_01_01
Sediment - Descriptive,4406,4082_00_00_01_02
Sediment - Descriptive,192,5506_00_00_01_01
Sediment - Descriptive,192,5507_00_00_01_01
Sediment - Descriptive,192,5565_00_00_01_01
Sediment - Descriptive,689,5425_00_00_01_01
Sediment - Descriptive,192,5514_00_00_01_01
Sediment - Descriptive,192,5519_00_00_01_01
Sediment - Descriptive,192,5524_00_00_01_01
Sediment - Descriptive,192,5561_00_00_01_01
Sediment - Descriptive,192,5597_00_00_01_01
Sediment - Descriptive,192,5525_00_00_01_01
Sediment - Descriptive,192,5550_00_00_01_01
Sediment - Descriptive,192,5551_00_00_01_01
Sediment - Descriptive,192,5562_00_00_01_01
Sediment - Descriptive,192,5596_00_00_01_01
Sediment - Descriptive,689,5421_00_00_01_01
Sediment - Descriptive,192,5494_00_00_01_01
Sediment - Descriptive,192,5508_00_00_01_01
Sediment - Descriptive,192,5558_00_00_01_01
Sediment - Descriptive,192,5579_00_00_01_01
Sediment - Descriptive,689,5429_00_00_01_01
Sediment - Descriptive,192,5496_00_00_01_01
Sediment - Descriptive,192,5500_00_00_01_01
Sediment - Descriptive,192,5511_00_00_01_01
Sediment - Descriptive,192,5546_00_00_01_01
Sediment - Descriptive,192,5493_00_00_01_01
Sediment - Descriptive,192,5499_00_00_01_01
Sediment - Descriptive,192,5502_00_00_01_01
Sediment - Descriptive,192,5537_00_00_01_01
Sediment - Descriptive,192,5589_00_00_01_01
Sediment - Descriptive,192,5535_00_00_01_01
Sediment - Descriptive,192,5492_00_00_01_01
Sediment - Descriptive,192,5516_00_00_01_01
Sediment - Descriptive,192,5580_00_00_01_01
Sediment - Descriptive,192,5594_00_00_01_01
Sediment - Descriptive,192,5571_00_00_01_01
Sediment - Descriptive,4394,2117_00_00_01_02
Sediment - Descriptive,4394,2119_00_00_01_02
Sediment - Descriptive,192,5498_00_00_01_01
Sediment - Descriptive,192,5505_00_00_01_01
Sediment - Descriptive,192,5544_00_00_01_01
Sediment - Descriptive,192,5552_00_00_01_01
Sediment - Descriptive,4405,4081_00_00_01_02
Sediment - Descriptive,192,5517_00_00_01_01
Sediment - Descriptive,192,5570_00_00_01_01
Sediment - Descriptive,192,5484_00_00_01_01
Sediment - Descriptive,192,5497_00_00_01_01
Sediment - Descriptive,192,5509_00_00_01_01
Sediment - Descriptive,192,5566_00_00_01_01
Sediment - Descriptive,192,5485_00_00_01_01
Sediment - Descriptive,192,5489_00_00_01_01
Sediment - Descriptive,192,5518_00_00_01_01
Sediment - Descriptive,192,5549_00_00_01_01
Sediment - Descriptive,689,5431_00_00_01_01
Sediment - Descriptive,192,5478_00_00_01_01
Sediment - Descriptive,192,5480_00_00_01_01
Sediment - Descriptive,192,5515_00_00_01_01
Sediment - Descriptive,192,5482_00_00_01_01
Sediment - Descriptive,192,5530_00_00_01_01
Sediment - Descriptive,192,5559_00_00_01_01
Sediment - Descriptive,192,5574_00_00_01_01
Sediment - Descriptive,192,5582_00_00_01_01
Sediment - Descriptive,192,5595_00_00_01_01
Sediment - Descriptive,192,5504_00_00_01_01
Sediment - Descriptive,4394,2118_00_00_01_02
Sediment - Descriptive,192,5527_00_00_01_01
Sediment - Descriptive,192,5528_00_00_01_01
Sediment - Descriptive,192,5557_00_00_01_01
Sediment - Descriptive,192,5572_00_00_01_01
Sediment - Descriptive,192,5479_00_00_01_01
Sediment - Descriptive,192,5567_00_00_01_01
Sediment - Descriptive,192,5569_00_00_01_01
Sediment - Descriptive,192,5576_00_00_01_01
Sediment - Descriptive,192,5564_00_00_01_01
Sediment - Descriptive,4405,4083_00_00_01_02
Sediment - Descriptive,689,5424_00_00_01_01
Sediment - Descriptive,689,5428_00_00_01_01
Sediment - Descriptive,192,5575_00_00_01_01
Sediment - Descriptive,192,5584_00_00_01_01
Sediment - Descriptive,192,5588_00_00_01_01
Sediment - Descriptive,689,5422_00_00_01_01
Sediment - Descriptive,192,5512_00_00_01_01
Sediment - Descriptive,192,5513_00_00_01_01
Sediment - Descriptive,192,5526_00_00_01_01
Sediment - Descriptive,192,5554_00_00_01_01
Sediment - Descriptive,192,5583_00_00_01_01
Sediment - Descriptive,192,5590_00_00_01_01
Sediment - Descriptive,689,5430_00_00_01_01
Sediment - Descriptive,192,5487_00_00_01_01
Sediment - Descriptive,192,5540_00_00_01_01
Sediment - Descriptive,192,5542_00_00_01_01
Sediment - Descriptive,192,5573_00_00_01_01
Sediment - Descriptive,689,2375_00_00_01_01
Sediment - Descriptive,689,2376_00_00_01_01
Sediment - Descriptive,689,2377_00_00_01_01
Sediment - Descriptive,689,2378_00_00_01_01
Sediment - Descriptive,689,2379_00_00_01_01
Sediment - Descriptive,689,2380_00_00_01_01
Sediment - Descriptive,689,2381_00_00_01_01
Sediment - Descriptive,689,2382_00_00_01_01
Sediment - Descriptive,689,2383_00_00_01_01
